Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,cohen
parameter,CO,Dg,True,True,8.820698936248533,5.0,two-sided,0.00031100608006082484,99.012,5.078722244319136
parameter,CO,Dhl,True,True,8.839433559593346,5.0,two-sided,0.00030789323533916016,99.792,5.097219448139489
parameter,CO,Eb,True,True,8.864949066518092,5.0,two-sided,0.00030371310041761855,100.861,5.119498643060831
parameter,CO,Eo,True,True,8.847575954765407,5.0,two-sided,0.0003065518980783994,100.132,5.111318422658109
parameter,CO,H,True,True,8.830241483190527,5.0,two-sided,0.000309415888531021,99.408,5.098142297329452
parameter,CO,TS,True,True,8.69249381944047,5.0,two-sided,0.0003333421365508335,93.802,5.0186136465831135
parameter,CO,Tg,True,True,5.3828499231551685,5.0,two-sided,0.0029834320047585046,17.276,3.08835391749516
parameter,CO,Thl,True,True,7.603015658731004,5.0,two-sided,0.0006252716250143276,57.53,4.196069457150986
parameter,CO,To,True,True,5.058606880339543,5.0,two-sided,0.0039046251795079893,14.07,3.272036212956387
parameter,CO,To_e,True,True,-5.062522452876533,5.0,two-sided,0.0038916680551138094,14.105,-2.925154219891276
parameter,CO,a_CL,True,True,9.079080898919651,5.0,two-sided,0.00027116826933719465,110.183,5.212803730042053
parameter,CO,a_kbh,True,True,8.870261979505091,5.0,two-sided,0.00030285121101702756,101.084,5.12124069442806
parameter,CO,a_khe,True,True,8.870477467777139,5.0,two-sided,0.00030281631477702906,101.094,5.121337039699253
parameter,CO,c_B1corr_a,True,True,8.78136327992438,5.0,two-sided,0.0003176645248343128,97.391,5.069922453516235
parameter,CO,c_B1corr_l,True,True,8.78136327992438,5.0,two-sided,0.0003176645248343128,97.391,5.069922453516235
parameter,CO,c_BAT,True,True,2.435772786647736,5.0,two-sided,0.058959825414850606,1.853,1.4071853040766114
parameter,CO,c_CL,True,True,8.627587760009638,5.0,two-sided,0.00034537548430426957,91.246,4.99799149238749
parameter,CO,c_R10_a,True,True,8.821960355571834,5.0,two-sided,0.00031079531779330463,99.064,5.093361186069606
parameter,CO,c_R10_l,True,True,8.753243802090044,5.0,two-sided,0.00032252841117250044,96.244,5.050821516527255
parameter,CO,c_R20s_a,True,True,7.0928435307301125,5.0,two-sided,0.0008627575240078482,44.838,4.095055121786926
parameter,CO,c_R20s_l,True,True,7.0928435307301125,5.0,two-sided,0.0008627575240078482,44.838,4.095055121786926
parameter,CO,c_S0_a,True,True,-10.140570757838287,5.0,two-sided,0.00015987248872909293,166.532,-5.826651203837758
parameter,CO,c_S0_l,True,True,-17.642280470260385,5.0,two-sided,1.073236443635327e-05,1401.679,-10.095901298415871
parameter,CO,c_T1_1,True,True,8.802595911467037,5.0,two-sided,0.0003140495990157157,98.263,5.083582721841209
parameter,CO,c_T1_2,True,True,8.828672541002057,5.0,two-sided,0.00030967667521787477,99.343,5.09911857863342
parameter,CO,c_T1_3,True,True,8.815445743960403,5.0,two-sided,0.00031188563130279766,98.794,5.089171853716007
parameter,CO,c_dose,True,True,8.86801100389619,5.0,two-sided,0.0003032160208020067,100.99,5.119948540276028
parameter,CO,c_kbh,True,True,8.870201698746058,5.0,two-sided,0.00030286097375860187,101.082,5.121219486395966
parameter,CO,c_khe,True,True,8.869960011968784,5.0,two-sided,0.00030290011978425846,101.072,5.1210974482822555
parameter,CO,c_tmax,True,True,-191.64921696931222,5.0,two-sided,7.339085323809099e-11,1.865e+07,-96.53439857343037
parameter,CO,c_vol,True,True,-13.712546841420197,5.0,two-sided,3.700666837338711e-05,526.332,-8.07434276569096
parameter,CO,d_B1corr_a,True,True,8.78136327992438,5.0,two-sided,0.0003176645248343128,97.391,5.069922453516235
parameter,CO,d_B1corr_l,True,True,8.78136327992438,5.0,two-sided,0.0003176645248343128,97.391,5.069922453516235
parameter,CO,d_BAT,True,True,1.9836465524748559,5.0,two-sided,0.104091753032249,1.235,1.2806075237390722
parameter,CO,d_CL,True,True,8.843716065393819,5.0,two-sided,0.00030718688865766827,99.97,5.095036171512606
parameter,CO,d_R10_a,True,True,8.821960355571834,5.0,two-sided,0.00031079531779330463,99.064,5.093361186069606
parameter,CO,d_R10_l,True,True,8.761245545275486,5.0,two-sided,0.0003211353731889411,96.569,5.052893267660087
parameter,CO,d_R20s_a,True,True,7.0928435307301125,5.0,two-sided,0.0008627575240078482,44.838,4.095055121786926
parameter,CO,d_R20s_l,True,True,7.0928435307301125,5.0,two-sided,0.0008627575240078482,44.838,4.095055121786926
parameter,CO,d_S0_a,True,True,-8.066829332817905,5.0,two-sided,0.00047404146367939834,71.322,-4.645296368627173
parameter,CO,d_S0_l,True,True,-13.309191964577815,5.0,two-sided,4.2818241724638884e-05,469.107,-7.690230074996462
parameter,CO,d_T1_1,True,True,8.798010508127819,5.0,two-sided,0.000314826120191202,98.074,5.082616804983099
parameter,CO,d_T1_2,True,True,8.805489295012778,5.0,two-sided,0.00031356078711630643,98.383,5.089824555205116
parameter,CO,d_T1_3,True,True,8.801036772818472,5.0,two-sided,0.00031431337758212825,98.199,5.089250468844386
parameter,CO,d_dose,True,True,8.86801100389619,5.0,two-sided,0.0003032160208020067,100.99,5.119948540276028
parameter,CO,d_kbh,True,True,8.870230937777691,5.0,two-sided,0.0003028562383184365,101.083,5.121228920392309
parameter,CO,d_khe,True,True,8.870204747390652,5.0,two-sided,0.0003028604800078345,101.082,5.121203234089892
parameter,CO,d_tmax,True,True,-214.14387386162525,5.0,two-sided,4.213801985744393e-11,2.907e+07,-121.02037399798056
parameter,CO,d_vol,True,True,-13.253000528604836,5.0,two-sided,4.371182415003512e-05,461.526,-7.635924603169646
parameter,CO,dose_tolerance,True,True,8.861345794359897,5.0,two-sided,0.0003042993030293941,100.709,5.116100379756045
parameter,CO,dt,True,True,8.861345794359897,5.0,two-sided,0.0003042993030293941,100.709,5.116100379756045
parameter,CO,field_strength,True,True,8.603624358956562,5.0,two-sided,0.00034994826499782554,90.316,4.967304839649993
parameter,CO,r_CL,True,True,8.956979290487844,5.0,two-sided,0.00028918641404977356,104.79,5.161137488871926
parameter,CO,r_kbh,True,True,8.96421568775181,5.0,two-sided,0.0002880796192439064,105.104,5.162334757960955
parameter,CO,r_khe,True,True,8.955584327461844,5.0,two-sided,0.00028940035241897057,104.73,5.1612180468489
parameter,CO,rate,True,True,8.78136327992438,5.0,two-sided,0.0003176645248343128,97.391,5.069922453516235
parameter,CO,ve,True,True,8.852990415786667,5.0,two-sided,0.0003056637935284114,100.359,5.1081085853568835
parameter,CO,vh,True,True,8.812687058872612,5.0,two-sided,0.00031234870730389986,98.68,5.093735639042923
parameter,CO,weight,True,True,3.833669938598344,5.0,two-sided,0.01220200850323672,5.941,1.42721490128914
parameter,Dg,Dhl,True,True,5.794010298816118,5.0,two-sided,0.0021573055516764983,22.141,3.2226620041470815
parameter,Dg,Eb,True,True,18.129618815598565,5.0,two-sided,9.382244802966677e-06,1559.414,10.299268276703886
parameter,Dg,Eo,True,True,11.853232506704066,5.0,two-sided,7.525904072290265e-05,300.836,8.07121247862026
parameter,Dg,H,True,True,8.568757567972087,5.0,two-sided,0.0003567308804626106,88.976,4.947174488489326
parameter,Dg,TS,True,True,-26.592426897452928,5.0,two-sided,1.4059061316309225e-06,7054.541,-15.353144827649892
parameter,Dg,Tg,True,True,-13.415872053477562,5.0,two-sided,4.118109283213718e-05,483.758,-7.781395529358655
parameter,Dg,Thl,True,True,-12.830987777631476,5.0,two-sided,5.11855361496478e-05,407.52,-7.412623491788068
parameter,Dg,To,True,True,-10.660029009630273,5.0,two-sided,0.00012572218400383397,201.042,-6.201802670368892
parameter,Dg,To_e,True,True,-6.363480585631463,5.0,two-sided,0.0014167003501839304,30.583,-3.6740753156180794
parameter,Dg,a_CL,True,True,7.844397484592314,5.0,two-sided,0.0005403959032955033,64.423,4.524897779275939
parameter,Dg,a_kbh,True,True,18.783983404872796,5.0,two-sided,7.875302209103134e-06,1791.854,10.843221915665586
parameter,Dg,a_khe,True,True,18.800559870495942,5.0,two-sided,7.841059081300107e-06,1798.062,10.867403216057403
parameter,Dg,c_B1corr_a,True,True,-3.907791758469047,5.0,two-sided,0.011320115414371435,6.285,-2.256164623689106
parameter,Dg,c_B1corr_l,True,True,-3.907791758469047,5.0,two-sided,0.011320115414371435,6.285,-2.256164623689106
parameter,Dg,c_BAT,True,True,-63.90366601532796,5.0,two-sided,1.7763814022494147e-08,2.313e+05,-37.77492528775711
parameter,Dg,c_CL,True,True,-3.6087135132945214,5.0,two-sided,0.015401261172595307,4.989,-2.0955911673953875
parameter,Dg,c_R10_a,True,True,6.454934016590944,5.0,two-sided,0.0013279611319839137,32.145,3.7267578920800526
parameter,Dg,c_R10_l,True,True,-8.66643662945241,5.0,two-sided,0.0003381121935007559,92.77,-4.816644833912062
parameter,Dg,c_R20s_a,True,True,-434.91585939916456,5.0,two-sided,1.2197000411770527e-12,4.944e+08,-251.09878849894403
parameter,Dg,c_R20s_l,True,True,-434.91585939916456,5.0,two-sided,1.2197000411770527e-12,4.944e+08,-251.09878849894403
parameter,Dg,c_S0_a,True,True,-10.141752904554947,5.0,two-sided,0.0001597830413950475,166.605,-5.855295589473973
parameter,Dg,c_S0_l,True,True,-17.65544706096665,5.0,two-sided,1.0692946039976828e-05,1405.775,-10.19329878695378
parameter,Dg,c_T1_1,True,True,1.8227930676409165,5.0,two-sided,0.12794851895529924,1.07,1.0755370669510285
parameter,Dg,c_T1_2,True,True,6.53056524604754,5.0,two-sided,0.0012594989469518066,33.483,4.356620953578757
parameter,Dg,c_T1_3,True,True,4.397395254493762,5.0,two-sided,0.007038994638431255,8.994,2.2496529077953604
parameter,Dg,c_dose,True,True,18.209727502040234,5.0,two-sided,9.180268434034194e-06,1586.573,10.51339107517266
parameter,Dg,c_kbh,True,True,18.765000173340155,5.0,two-sided,7.9147373954268e-06,1784.763,10.837808446155668
parameter,Dg,c_khe,True,True,18.733408161956103,5.0,two-sided,7.98089127067987e-06,1773.011,10.806149508485724
parameter,Dg,c_tmax,True,True,-286.15170705090844,5.0,two-sided,9.891572332391232e-12,9.266e+07,-164.93600408401974
parameter,Dg,c_vol,True,True,-16.042422187044455,5.0,two-sided,1.7141218301211774e-05,967.193,-9.265057875073733
parameter,Dg,d_B1corr_a,True,True,-3.907791758469047,5.0,two-sided,0.011320115414371435,6.285,-2.256164623689106
parameter,Dg,d_B1corr_l,True,True,-3.907791758469047,5.0,two-sided,0.011320115414371435,6.285,-2.256164623689106
parameter,Dg,d_BAT,True,True,-43.061014371982985,5.0,two-sided,1.2746072915190292e-07,4.789e+04,-25.451138939615085
parameter,Dg,d_CL,True,True,2.635170089794793,5.0,two-sided,0.04624433102509333,2.211,1.6229892489481152
parameter,Dg,d_R10_a,True,True,6.454934016590944,5.0,two-sided,0.0013279611319839137,32.145,3.7267578920800526
parameter,Dg,d_R10_l,True,True,-10.421684984962056,5.0,two-sided,0.00014018412383075474,184.591,-5.627485787754934
parameter,Dg,d_R20s_a,True,True,-434.91585939916456,5.0,two-sided,1.2197000411770527e-12,4.944e+08,-251.09878849894403
parameter,Dg,d_R20s_l,True,True,-434.91585939916456,5.0,two-sided,1.2197000411770527e-12,4.944e+08,-251.09878849894403
parameter,Dg,d_S0_a,True,True,-8.091481370327035,5.0,two-sided,0.0004672997259349884,72.121,-4.671620708300636
parameter,Dg,d_S0_l,True,True,-13.461951114818294,5.0,two-sided,4.0497147321826005e-05,490.193,-7.772481003379301
parameter,Dg,d_T1_1,True,True,1.5521526798072407,5.0,two-sided,0.18132906696923437,0.844,0.9321470420840164
parameter,Dg,d_T1_2,True,True,3.764469698579453,5.0,two-sided,0.0130971644823906,5.633,2.4142575342574015
parameter,Dg,d_T1_3,True,True,3.1827370160684496,5.0,two-sided,0.024463093970394582,3.534,2.214652347706613
parameter,Dg,d_dose,True,True,18.209727502040234,5.0,two-sided,9.180268434034194e-06,1586.573,10.51339107517266
parameter,Dg,d_kbh,True,True,18.772138963151953,5.0,two-sided,7.899879808135954e-06,1787.427,10.840217214511513
parameter,Dg,d_khe,True,True,18.758742458265846,5.0,two-sided,7.927788779284265e-06,1782.431,10.833641001265354
parameter,Dg,d_tmax,True,True,-2051.141053166114,5.0,two-sided,5.227874105727161e-16,3.684e+06,-1177.3531080704804
parameter,Dg,d_vol,True,True,-15.119651685127234,5.0,two-sided,2.293257086986795e-05,768.203,-8.730470421251917
parameter,Dg,dose_tolerance,True,True,16.508379866616444,5.0,two-sided,1.4888718255674379e-05,1081.359,9.531117559875602
parameter,Dg,dt,True,True,16.508379866616444,5.0,two-sided,1.4888718255674379e-05,1081.359,9.531117559875602
parameter,Dg,field_strength,True,True,-49.27706203643684,5.0,two-sided,6.503774283744613e-08,8.197e+04,-28.45012503161068
parameter,Dg,r_CL,True,True,30.075005830531836,5.0,two-sided,7.623327229342168e-07,1.149e+04,17.18543467389912
parameter,Dg,r_kbh,True,True,16.858752223798987,5.0,two-sided,1.342587985797334e-05,1173.699,10.514271029667615
parameter,Dg,r_khe,True,True,29.03590070639361,5.0,two-sided,9.080796091054764e-07,9994.268,17.2723368547827
parameter,Dg,rate,True,True,-3.907791758469047,5.0,two-sided,0.011320115414371435,6.285,-2.256164623689106
parameter,Dg,ve,True,True,11.098568869471638,5.0,two-sided,0.00010349426178157573,234.204,6.755093672822512
parameter,Dg,vh,True,True,5.392964018502799,5.0,two-sided,0.0029590744034980864,17.385,2.8851514286424114
parameter,Dg,weight,True,True,-18.773866460455164,5.0,two-sided,7.896289479744397e-06,1788.072,-10.756321585004022
parameter,Dhl,Eb,True,True,9.046244813778152,5.0,two-sided,0.00027587916083233387,108.713,5.25314351767831
parameter,Dhl,Eo,True,True,5.072194382327888,5.0,two-sided,0.0038598771721891183,14.194,3.264195465853028
parameter,Dhl,H,True,True,0.36228604996518526,5.0,two-sided,0.7319472326880051,0.394,0.20916594847104616
parameter,Dhl,TS,True,True,-32.45528201671351,5.0,two-sided,5.217585127481483e-07,1.555e+04,-18.738065808974774
parameter,Dhl,Tg,True,True,-13.593871723790869,5.0,two-sided,3.8612844168665515e-05,508.974,-7.857035901992996
