Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,cohen
parameter,CO,Dg,True,True,8.081060876842363,7.0,two-sided,8.54616892226323e-05,312.214,4.050531028137348
parameter,CO,Dhl,True,True,8.131891508270735,7.0,two-sided,8.210009646118645e-05,322.813,4.066290723154346
parameter,CO,Eb,True,True,8.163164210491255,7.0,two-sided,8.010625317055622e-05,329.485,4.083014666428876
parameter,CO,Eo,True,True,8.13828252880007,7.0,two-sided,8.168810993760774e-05,324.167,4.076308331331553
parameter,CO,H,True,True,8.129832141635754,7.0,two-sided,8.22333498085709e-05,322.377,4.064916070817876
parameter,CO,TS,True,True,8.03437586326692,7.0,two-sided,8.86866346700556e-05,302.742,3.996794392249059
parameter,CO,Tg,True,True,1.3593608736625515,7.0,two-sided,0.2161974652301164,0.674,0.9030270860193063
parameter,CO,Thl,True,True,6.778563138639869,7.0,two-sided,0.00025819369420894325,124.955,3.3495717032229892
parameter,CO,To,True,True,4.126551905908036,7.0,two-sided,0.0044230648065271775,12.45,2.420339966773841
parameter,CO,To_e,True,True,-5.864277435201115,7.0,two-sided,0.0006215340320370055,60.748,-2.9388025011578964
parameter,CO,a_CL,True,True,8.22564918688442,7.0,two-sided,7.62841233046643e-05,343.169,4.157408562080023
parameter,CO,a_kbh,True,True,8.169988243167843,7.0,two-sided,7.967848260290145e-05,330.956,4.085003648852951
parameter,CO,a_khe,True,True,8.170062236232464,7.0,two-sided,7.967385844821027e-05,330.972,4.0850741030124444
parameter,CO,c_B1corr_a,True,True,8.08075785295593,7.0,two-sided,8.548219001182507e-05,312.151,4.040378926477964
parameter,CO,c_B1corr_l,True,True,8.08075785295593,7.0,two-sided,8.548219001182507e-05,312.151,4.040378926477964
parameter,CO,c_BAT,True,True,1.8486592784873757,7.0,two-sided,0.10697734483188313,1.09,0.8874048815510855
parameter,CO,c_CL,True,True,8.10623234519779,7.0,two-sided,8.377797087811897e-05,317.425,4.006125360908005
parameter,CO,c_R10_a,True,True,8.12101695375527,7.0,two-sided,8.28065135259286e-05,320.52,4.0593132767599975
parameter,CO,c_R10_l,True,True,8.073383269620628,7.0,two-sided,8.598282713105331e-05,310.639,4.028607004030713
parameter,CO,c_R20s_a,True,True,6.385464244016538,7.0,two-sided,0.00037240069049444824,92.435,3.1927321220082687
parameter,CO,c_R20s_l,True,True,6.385464244016538,7.0,two-sided,0.00037240069049444824,92.435,3.1927321220082687
parameter,CO,c_S0_a,True,True,-8.698896915890172,7.0,two-sided,5.319580689210574e-05,463.451,-4.286812694859801
parameter,CO,c_S0_l,True,True,-12.912086672407398,7.0,two-sided,3.883350611782622e-06,4182.614,-6.371997018853865
parameter,CO,c_T1_1,True,True,8.089508652198212,7.0,two-sided,8.489239269652726e-05,313.954,4.049530088705788
parameter,CO,c_T1_2,True,True,8.12219890407312,7.0,two-sided,8.272940171300376e-05,320.768,4.061038545347906
parameter,CO,c_T1_3,True,True,8.109722733975492,7.0,two-sided,8.354747095988229e-05,318.153,4.055136868701126
parameter,CO,c_dose,True,True,8.167213789314893,7.0,two-sided,7.985208958121722e-05,330.357,4.084015938997165
parameter,CO,c_kbh,True,True,8.16996971268361,7.0,two-sided,7.967964070250511e-05,330.952,4.084977365726798
parameter,CO,c_khe,True,True,8.169900836407143,7.0,two-sided,7.968394542962661e-05,330.938,4.084903645105141
parameter,CO,c_tmax,True,True,-25.482068266699258,7.0,two-sided,3.661366911164629e-08,2.209e+05,-12.873136380732971
parameter,CO,c_vol,True,True,-13.31766512086767,7.0,two-sided,3.151063478598622e-06,4991.225,-6.528333024423359
parameter,CO,d_B1corr_a,True,True,8.08075785295593,7.0,two-sided,8.548219001182507e-05,312.151,4.040378926477964
parameter,CO,d_B1corr_l,True,True,8.08075785295593,7.0,two-sided,8.548219001182507e-05,312.151,4.040378926477964
parameter,CO,d_BAT,True,True,1.8603383634476973,7.0,two-sided,0.10515922206538159,1.103,0.9367786831368788
parameter,CO,d_CL,True,True,8.16380869983432,7.0,two-sided,8.006574201486515e-05,329.624,4.079341114423999
parameter,CO,d_R10_a,True,True,8.119902829682369,7.0,two-sided,8.287927462898714e-05,320.286,4.0591718926018485
parameter,CO,d_R10_l,True,True,8.073771876752762,7.0,two-sided,8.595636330663559e-05,310.718,4.029248688042717
parameter,CO,d_R20s_a,True,True,6.385464244016538,7.0,two-sided,0.00037240069049444824,92.435,3.1927321220082687
parameter,CO,d_R20s_l,True,True,6.385464244016538,7.0,two-sided,0.00037240069049444824,92.435,3.1927321220082687
parameter,CO,d_S0_a,True,True,-11.16491162336296,7.0,two-sided,1.0302152873164696e-05,1835.976,-5.50540916861553
parameter,CO,d_S0_l,True,True,-10.32504665390546,7.0,two-sided,1.7320014358121385e-05,1186.024,-5.091211549158899
parameter,CO,d_T1_1,True,True,8.089270209431747,7.0,two-sided,8.490840251034842e-05,313.905,4.049086130790913
parameter,CO,d_T1_2,True,True,8.099503555019037,7.0,two-sided,8.422436020302371e-05,316.024,4.052566113126381
parameter,CO,d_T1_3,True,True,8.095588741437531,7.0,two-sided,8.448530582196046e-05,315.212,4.051143297140786
parameter,CO,d_dose,True,True,8.167213789314893,7.0,two-sided,7.985208958121722e-05,330.357,4.084015938997165
parameter,CO,d_kbh,True,True,8.169974123544659,7.0,two-sided,7.967936503521383e-05,330.953,4.084989098423315
parameter,CO,d_khe,True,True,8.169979244313577,7.0,two-sided,7.967904500188734e-05,330.954,4.0849858335612135
parameter,CO,d_tmax,True,True,-25.998709662495624,7.0,two-sided,3.185595891774625e-08,2.488e+05,-12.7365156786799
parameter,CO,d_vol,True,True,-13.327121519088225,7.0,two-sided,3.1359715619448638e-06,5011.542,-6.956062176405164
parameter,CO,dose_tolerance,True,True,8.161061234432006,7.0,two-sided,8.023860270049529e-05,329.033,4.080530617216002
parameter,CO,dt,True,True,8.161061234432006,7.0,two-sided,8.023860270049529e-05,329.033,4.080530617216002
parameter,CO,field_strength,True,True,7.902305894120205,7.0,two-sided,9.858000458758145e-05,277.263,3.9511529470601015
parameter,CO,r_CL,True,True,8.250110337591414,7.0,two-sided,7.484433590005854e-05,348.657,4.126215175904737
parameter,CO,r_kbh,True,True,8.207138102136998,7.0,two-sided,7.739450587193352e-05,339.066,4.11999837467184
parameter,CO,r_khe,True,True,8.251829149323436,7.0,two-sided,7.474432687161914e-05,349.045,4.126397096038175
parameter,CO,rate,True,True,8.08075785295593,7.0,two-sided,8.548219001182507e-05,312.151,4.040378926477964
parameter,CO,ve,True,True,8.152742259963542,7.0,two-sided,8.076457957836787e-05,327.248,4.075919030792863
parameter,CO,vh,True,True,8.112092000943933,7.0,two-sided,8.339141642717326e-05,318.648,4.056863770600643
parameter,CO,weight,True,True,1.6250033464796114,7.0,two-sided,0.14818952287151624,0.868,0.8024725520442495
parameter,Dg,Dhl,True,True,6.967149030815181,7.0,two-sided,0.00021783298904870133,143.766,3.3952139781806108
parameter,Dg,Eb,True,True,18.15723341344612,7.0,two-sided,3.8021903642770304e-07,3.004e+04,8.479684043785008
parameter,Dg,Eo,True,True,16.974273305412574,7.0,two-sided,6.036644196520478e-07,2.028e+04,6.000612544121415
parameter,Dg,H,True,True,7.665654819939813,7.0,two-sided,0.00011958865284553294,236.17,3.832827409969905
parameter,Dg,TS,True,True,-12.575188244482579,7.0,two-sided,4.6411397199563435e-06,3597.581,-6.683183656237832
parameter,Dg,Tg,True,True,-5.5515629692080095,7.0,two-sided,0.0008585009227373039,46.675,-2.766399698924999
parameter,Dg,Thl,True,True,-16.7265021044111,7.0,two-sided,6.676385470537703e-07,1.861e+04,-8.563922280697167
parameter,Dg,To,True,True,-8.234718786425532,7.0,two-sided,7.574666484760877e-05,345.195,-4.102192226944608
parameter,Dg,To_e,True,True,-7.178860061951791,7.0,two-sided,0.0001807506708040367,167.735,-3.5893975347123463
parameter,Dg,a_CL,True,True,18.63876395315684,7.0,two-sided,3.1761128036887854e-07,3.501e+04,7.447338533430332
parameter,Dg,a_kbh,True,True,18.40192991588329,7.0,two-sided,3.4680122022402316e-07,3.249e+04,9.19565825199211
parameter,Dg,a_khe,True,True,18.492580405983585,7.0,two-sided,3.3528133149048743e-07,3.344e+04,9.214345470757726
