parameter,count,mean,std,min,25%,50%,75%,max,IQR,95%CI,95%CI/|mean|,range
CO,6.0,133.36299693459964,42.40122602021084,68.16628960997937,111.57712912906393,137.6891399139496,166.83509396130574,177.20987465852605,55.25796483224181,33.92804695119297,0.25440375314774205,109.04358504854667
Dg,6.0,0.7345178952910975,0.10847508890021043,0.6227646978523179,0.6515417251607244,0.7060032273905712,0.8171879951305401,0.8846987436518189,0.16564626996981568,0.08679814841879589,0.11817022971836083,0.26193404579950097
Dhl,6.0,0.5274373865778911,0.13624326894264005,0.4074625205681543,0.43598606811857094,0.49818729584842386,0.5493531648656396,0.779126427122346,0.11336709674706863,0.1090173200007606,0.20669243928285905,0.37166390655419174
Eb,6.0,0.040204386882128594,0.02044414442480692,0.010006982578654459,0.028651933058856403,0.04112838394312451,0.05498541655912392,0.06486502729931065,0.02633348350026752,0.016358722542390534,0.4068889942371491,0.054858044720656196
Eo,6.0,0.16361047846588764,0.041680922898074374,0.10638819001052924,0.14551855796622296,0.1539283190938826,0.19044352769019068,0.2220874744510683,0.04492496972396773,0.0333516844154661,0.20384809535545634,0.11569928444053906
FA,6.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0
H,6.0,0.45,0.0,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0,0.0
TR,6.0,0.0023,0.0,0.0023,0.0023,0.0023,0.0023,0.0023,0.0,0.0,0.0,0.0
TS,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
Tg,6.0,26.5727959675385,7.445869293632039,16.96626845371131,21.11342439841422,27.04540448076395,32.55192166086415,34.85617329812993,11.438497262449932,5.957936283879597,0.22421187033377485,17.88990484441862
Thl,6.0,16.28937022370856,6.422884260192273,3.6609585932555317,16.68886100131813,18.30429113443768,19.75380242561475,21.079323333835088,3.06494142429662,5.139377777378668,0.31550500153152017,17.418364740579555
To,6.0,28.65939303525357,8.932429010183656,18.319448711571205,21.234449708511907,28.868546557572095,34.47214602914641,40.870053106309655,13.237696320634502,7.147431791270696,0.24939229461275497,22.55060439473845
To_e,6.0,378.6380939229911,114.38235226573978,282.4954402649694,316.8697650943456,349.6430664368829,375.36436347938854,600.1635299254878,58.494598385042934,91.52494355257834,0.24172143537990934,317.6680896605184
