parameter,count,mean,std,min,25%,50%,75%,max,IQR,95%CI,95%CI/|mean|,range
CO,6.0,137.39762887591198,61.732216661354904,69.3383805149465,99.69390282521607,124.48747177724316,160.72979291449343,241.83250271792164,61.03589008927736,49.396060960344165,0.35951174241118283,172.49412220297515
Dg,6.0,0.7710623879445072,0.11156511777890162,0.6480350637951118,0.6977831198110788,0.7609520492548705,0.8036108579716572,0.9618778944884562,0.10582773816057844,0.0892706864729268,0.1157762171630547,0.3138428306933444
Dhl,6.0,0.5310434343090927,0.20356729372803548,0.2857766499917319,0.429920781339995,0.478629995193118,0.6154985976202338,0.8684181236583621,0.18557781628023884,0.1628877593312981,0.30673151913312163,0.5826414736666302
Eb,6.0,0.044679562679072304,0.014242134765881579,0.017107900893406237,0.04507008623677605,0.04817622975992966,0.051999658510304206,0.057308175838347665,0.006929572273528153,0.011396081254625125,0.25506250668749264,0.040200274944941425
Eo,6.0,0.19216124456112627,0.02746047419578497,0.15855147767101477,0.17121276730974488,0.19574725658901343,0.2055261559040371,0.23110108329201562,0.03431338859429223,0.021972955625682227,0.11434644730713459,0.07254960562100085
FA,6.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0
H,6.0,0.45,0.0,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0,0.0
TR,6.0,0.0023,0.0,0.0023,0.0023,0.0023,0.0023,0.0023,0.0,0.0,0.0,0.0
TS,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
Tg,6.0,30.50635409158188,10.120601275407873,19.200765670895823,23.31365386576347,29.210587949152583,35.346258391636276,46.67669193652567,12.032604525872806,8.098167611537246,0.26545838900401103,27.475926265629848
Thl,6.0,17.921096316607677,5.568608082536634,7.948980407997295,17.00365159991114,18.309150349370764,22.063813392516032,23.07544370258486,5.060161792604891,4.455814470719309,0.2486351499930312,15.126463294587564
To,6.0,28.72919037810105,8.461520434558498,17.965692214079755,23.136317854550352,28.97842447325531,32.44446552872485,41.66383957915248,9.308147674174496,6.770626454181758,0.23567063203224473,23.698147365072725
To_e,6.0,516.3995430707108,118.78498074794041,321.68580483126874,485.0937770084431,514.0766187600152,579.4343149845936,671.9051725889269,94.34053797615047,95.04778003333394,0.18405860599361337,350.2193677576582
a_CL,6.0,-0.7588033764627328,0.6356779602970407,-1.5985604580728583,-1.1358829686227327,-0.8224177209043639,-0.37835354748355593,0.16127918197733226,0.7575294211391768,0.5086483035305717,0.6703295205428662,1.7598396400501906
a_kbh,6.0,-5.1374265876701304e-05,0.000105359298593052,-0.0002371399494539532,-6.81552470583693e-05,-4.818724185273225e-05,2.266572565372778e-05,5.379670520357704e-05,9.082097271209708e-05,8.430499692876693e-05,1.640996625257861,0.0002909366546575302
a_khe,6.0,-0.0006943764578799609,0.0005374601844840203,-0.0014971375091832628,-0.0009180219955567323,-0.0007556436847064453,-0.0003032925235357659,-3.317696636457798e-05,0.0006147294720209664,0.0004300577149556677,0.6193437436930116,0.0014639605428186848
c_B1corr_1_a,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_B1corr_1_l,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_B1corr_2_a,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_B1corr_2_l,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_BAT_1,6.0,73.12801864891061,5.41446282333846,66.91122960354278,69.50947307610701,73.42646345796226,74.33054038209224,82.1682464017056,4.821067305985224,4.332472575159812,0.059245042532331114,15.257016798162823
c_BAT_2,6.0,8158.577729109454,1523.0600104558039,7048.406843383069,7334.686374171929,7572.7332974851815,8165.6461246011595,11138.9718029293,830.9597504292306,1218.7018252632124,0.149376749934604,4090.564959546231
c_CL,6.0,3.4991046338018434,1.0712972370755378,1.9891247654798,3.019442034422494,3.4672595057472058,3.8944874190933785,5.163917758313821,0.8750453846708846,0.8572163206049063,0.24498161967609539,3.1747929928340213
c_R10_a,6.0,0.5431830526887561,0.0,0.5431830526887561,0.5431830526887561,0.5431830526887561,0.5431830526887561,0.5431830526887561,0.0,0.0,0.0,0.0
