Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,cohen
parameter,CO,Dg,True,True,5.417644267616132,5.0,two-sided,0.002900609266438809,17.652,3.1299512348520597
parameter,CO,Dhl,True,True,5.434887742898298,5.0,two-sided,0.002860564139576905,17.84,3.1354378549611748
parameter,CO,Eb,True,True,5.449895504074979,5.0,two-sided,0.0028262378574899086,18.006,3.146596851475259
parameter,CO,Eo,True,True,5.44212687723017,5.0,two-sided,0.0028439458660823157,17.92,3.143217989769548
parameter,CO,FA,True,True,4.85664945610505,5.0,two-sided,0.0046467370112641005,12.325,2.803987870841901
parameter,CO,H,True,True,5.43398294071012,5.0,two-sided,0.0028626492127315378,17.83,3.1373115135908236
parameter,CO,TR,True,True,5.451747353153948,5.0,two-sided,0.002822035808688766,18.026,3.1475678018972633
parameter,CO,TS,True,True,5.372480060906834,5.0,two-sided,0.003008649906754732,17.165,3.101802809380457
parameter,CO,Tg,True,True,4.043489312698116,5.0,two-sided,0.009888634252416038,6.958,2.416495903804887
parameter,CO,Thl,True,True,4.547192411603057,5.0,two-sided,0.006128221947760376,9.989,2.726000541866091
parameter,CO,To,True,True,4.462705172562302,5.0,two-sided,0.0066238426392772436,9.418,2.46640681164089
parameter,CO,To_e,True,True,-8.348196809890531,5.0,two-sided,0.00040344889146910805,80.849,-4.0038560343665255
parameter,CO,a_CL,True,True,5.4961268851034735,5.0,two-sided,0.002723491958445431,18.523,3.1648360107004248
parameter,CO,a_kbh,True,True,5.451845340928662,5.0,two-sided,0.0028218136678367584,18.027,3.1476216691528687
parameter,CO,a_khe,True,True,5.451873416994948,5.0,two-sided,0.0028217500224384864,18.028,3.1476363994734116
parameter,CO,c_B1corr_1_a,True,True,5.412159338199278,5.0,two-sided,0.0029134846309369325,17.592,3.1247116508065
parameter,CO,c_B1corr_1_l,True,True,5.412159338199278,5.0,two-sided,0.0029134846309369325,17.592,3.1247116508065
parameter,CO,c_B1corr_2_a,True,True,5.412159338199278,5.0,two-sided,0.0029134846309369325,17.592,3.1247116508065
parameter,CO,c_B1corr_2_l,True,True,5.412159338199278,5.0,two-sided,0.0029134846309369325,17.592,3.1247116508065
parameter,CO,c_BAT_1,True,True,2.62278681281379,5.0,two-sided,0.04693969493850348,2.187,1.4667115250880707
parameter,CO,c_BAT_2,True,True,-12.680686221599611,5.0,two-sided,5.421000175207659e-05,389.494,-7.44183110296857
parameter,CO,c_CL,True,True,5.3632566218900655,5.0,two-sided,0.003031290003846844,17.067,3.066998266340007
parameter,CO,c_R10_a,True,True,5.430285504523527,5.0,two-sided,0.002871188317312632,17.79,3.135176797813182
parameter,CO,c_R10_l,True,True,5.40204753772413,5.0,two-sided,0.0029373971860784907,17.483,3.117456407318515
parameter,CO,c_R20s_a,True,True,4.658253069642827,5.0,two-sided,0.005540795596886985,10.782,2.689443663711687
parameter,CO,c_R20s_l,True,True,4.658253069642827,5.0,two-sided,0.005540795596886985,10.782,2.689443663711687
parameter,CO,c_S0_1_a,True,True,-11.845252932628616,5.0,two-sided,7.550537218200485e-05,300.064,-6.8147271130447775
parameter,CO,c_S0_1_l,True,True,-20.823798908058354,5.0,two-sided,4.729691534869873e-06,2686.482,-12.028203140524864
parameter,CO,c_S0_2_a,True,True,-11.209563178975326,5.0,two-sided,9.863345766548711e-05,243.221,-6.437770902617559
parameter,CO,c_S0_2_l,True,True,-21.91187716110027,5.0,two-sided,3.675048086646396e-06,3283.177,-12.693012838147936
parameter,CO,c_T1_1,True,True,5.420249436151745,5.0,two-sided,0.0028945172461635276,17.68,3.130196934296019
parameter,CO,c_T1_2,True,True,5.436077027765307,5.0,two-sided,0.002857826197665314,17.853,3.1374236296969698
parameter,CO,c_T1_3,True,True,5.426553357070237,5.0,two-sided,0.0028798378886579585,17.749,3.133388235374355
parameter,CO,c_dkhe,True,True,5.561321439795468,5.0,two-sided,0.0025859524787938547,19.272,3.119312263018652
parameter,CO,c_dose_1,True,True,5.450846633559411,5.0,two-sided,0.0028240787245228647,18.016,3.147047771196892
parameter,CO,c_dose_2,True,True,5.450846633559411,5.0,two-sided,0.0028240787245228647,18.016,3.147047771196892
parameter,CO,c_kbh,True,True,5.451822063860099,5.0,two-sided,0.0028218664357038893,18.027,3.147613346163268
parameter,CO,c_khe,True,True,5.451712534424242,5.0,two-sided,0.0028221147485991303,18.026,3.1475394383110524
parameter,CO,c_khe_f,True,True,5.451743173855884,5.0,two-sided,0.002822045283722921,18.026,3.1475216241294364
parameter,CO,c_khe_i,True,True,5.451681894835956,5.0,two-sided,0.002822184215835624,18.025,3.147557251602705
parameter,CO,c_t_scan2,True,True,-11.365178452402438,5.0,two-sided,9.226918918685205e-05,256.304,-6.6674085413455515
parameter,CO,c_tmax,True,True,-16.077583917981293,5.0,two-sided,1.6957624331473846e-05,975.475,-9.434964004749485
parameter,CO,c_vol,True,True,-24.773345018664283,5.0,two-sided,1.9990720554681822e-06,5329.857,-8.055252736572996
parameter,CO,d_B1corr_1_a,True,True,5.412159338199278,5.0,two-sided,0.0029134846309369325,17.592,3.1247116508065
parameter,CO,d_B1corr_1_l,True,True,5.412159338199278,5.0,two-sided,0.0029134846309369325,17.592,3.1247116508065
parameter,CO,d_B1corr_2_a,True,True,5.412159338199278,5.0,two-sided,0.0029134846309369325,17.592,3.1247116508065
parameter,CO,d_B1corr_2_l,True,True,5.412159338199278,5.0,two-sided,0.0029134846309369325,17.592,3.1247116508065
parameter,CO,d_BAT_1,True,True,2.5035527061578415,5.0,two-sided,0.05425386260612803,1.968,1.4036592719986714
parameter,CO,d_BAT_2,True,True,-128.0927007101659,5.0,two-sided,5.500452217609168e-10,3.723e+06,-56.99607744135065
parameter,CO,d_CL,True,True,5.408432431141199,5.0,two-sided,0.0029222714339417095,17.552,3.084529841376861
parameter,CO,d_R10_a,True,True,5.430285504523527,5.0,two-sided,0.002871188317312632,17.79,3.135176797813182
parameter,CO,d_R10_l,True,True,5.3990526180007565,5.0,two-sided,0.002944523731425559,17.45,3.117033601465547
parameter,CO,d_R20s_a,True,True,4.658253069642827,5.0,two-sided,0.005540795596886985,10.782,2.689443663711687
parameter,CO,d_R20s_l,True,True,4.658253069642827,5.0,two-sided,0.005540795596886985,10.782,2.689443663711687
parameter,CO,d_S0_1_a,True,True,-9.776092821282845,5.0,two-sided,0.00019053823540671316,145.161,-5.62473773898906
parameter,CO,d_S0_1_l,True,True,-18.760694504743615,5.0,two-sided,7.923714735558107e-06,1783.158,-10.779759130465045
parameter,CO,d_S0_2_a,True,True,-12.46249564175369,5.0,two-sided,5.8989720652220774e-05,364.412,-7.1452275091183095
parameter,CO,d_S0_2_l,True,True,-19.84131240020951,5.0,two-sided,6.007644886240708e-06,2221.529,-11.550116037255684
parameter,CO,d_T1_1,True,True,5.4219947937790955,5.0,two-sided,0.0028904442294667336,17.699,3.130441092156574
parameter,CO,d_T1_2,True,True,5.435338294413037,5.0,two-sided,0.0028595265294137787,17.845,3.137953138799016
parameter,CO,d_T1_3,True,True,5.431233142271095,5.0,two-sided,0.0028689969368614417,17.8,3.13461828636996
parameter,CO,d_dkhe,True,True,5.43573315412303,5.0,two-sided,0.002858617539076224,17.85,3.1343689102283756
parameter,CO,d_dose_1,True,True,5.450846633559411,5.0,two-sided,0.0028240787245228647,18.016,3.147047771196892
parameter,CO,d_dose_2,True,True,5.450846633559411,5.0,two-sided,0.0028240787245228647,18.016,3.147047771196892
parameter,CO,d_kbh,True,True,5.451828789292065,5.0,two-sided,0.0028218511893911384,18.027,3.1476145230939836
parameter,CO,d_khe,True,True,5.451747336329871,5.0,two-sided,0.0028220358468311504,18.026,3.1475553458173193
parameter,CO,d_khe_f,True,True,5.451708980179736,5.0,two-sided,0.0028221228068142533,18.026,3.14751603662726
