parameter,,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power
CO,T-test,5.451838615491723,5,two-sided,0.0028218289139230524,[ 72.61 202.18],2.2257037946593696,18.027,0.9892445972483657
Dg,T-test,16.92921092109628,5,two-sided,1.3152855304630237e-05,[0.65 0.89],6.911321417439717,1192.965,
Dhl,T-test,6.389953029735294,5,two-sided,0.0013903128309577279,[0.32 0.74],2.6086874005338165,31.029,0.9985951898425187
Eb,T-test,7.6843908791401825,5,two-sided,0.0005950002483245772,[0.03 0.06],3.137139439665081,59.787,0.9999565735436287
Eo,T-test,17.140891091574012,5,two-sided,1.2371678794710952e-05,[0.16 0.22],6.997739485162348,1252.286,1.0
FA,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
H,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
TR,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
TS,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
Tg,T-test,7.383454737873758,5,two-sided,0.0007165174661506172,[19.89 41.13],3.014282774454271,51.767,0.9998956019463978
Thl,T-test,7.883036650509532,5,two-sided,0.0005281145592583362,[12.08 23.76],3.218236236234494,65.583,0.9999762096378665
To,T-test,8.316691745163356,5,two-sided,0.00041070036157006605,[19.85 37.61],3.3952751872778606,79.736,
To_e,T-test,10.648782160547333,5,two-sided,0.0001263633501894503,[391.74 641.06],4.34734711256553,200.241,0.9999999991567318
a_CL,T-test,-2.923935079589953,5,two-sided,0.03286323252225443,[-1.43 -0.09],1.1936914976699173,2.841,0.6506187324436077
a_kbh,T-test,-1.1943961186952543,5,two-sided,0.28588845741762187,[-0.  0.],0.4876101735940108,0.63,0.16471818546293385
a_khe,T-test,-3.164640024153547,5,two-sided,0.02496468761377658,[-0. -0.],1.2919588797942034,3.481,0.7167344184977734
c_B1corr_1_a,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
c_B1corr_1_l,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
c_B1corr_2_a,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
c_B1corr_2_l,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
c_BAT_1,T-test,33.082936836958,5,two-sided,4.742872879576203e-07,[67.45 78.81],13.50605240721206,1.678e+04,1.0
c_BAT_2,T-test,13.12118519688019,5,two-sided,4.589699030874713e-05,[6560.22 9756.93],5.356701425486083,444.107,
c_CL,T-test,8.000600218871242,5,two-sided,0.000492733301898501,[2.37 4.62],3.2662313620389924,69.211,0.9999834795144211
c_R10_a,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
c_R10_l,T-test,60.5579230986674,5,two-sided,2.323705048537902e-08,[1.26 1.37],24.72266857907305,1.866e+05,1.0
c_R20s_a,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
c_R20s_l,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
c_S0_1_a,T-test,11.839394241404628,5,two-sided,7.56868444615215e-05,[35684.87 55478.32],4.833412459181145,299.498,0.9999999999964682
c_S0_1_l,T-test,20.975700651600448,5,two-sided,4.562505489644752e-06,[18624.21 23826.57],8.563293932297618,2764.436,1.0
c_S0_2_a,T-test,11.18656277149158,5,two-sided,9.961795240033029e-05,[33089.29 52833.69],4.56689512762813,241.331,
c_S0_2_l,T-test,22.155970577994793,5,two-sided,3.4787027416385023e-06,[16673.21 21049.92],9.045137112034022,3429.72,
c_T1_1,T-test,60.352460461753275,5,two-sided,2.3634821068736904e-08,[0.73 0.79],24.638788808798658,1.841e+05,1.0
c_T1_2,T-test,13.97444697041118,5,two-sided,3.3736008084319256e-05,[0.36 0.53],5.7050440858482725,566.222,
c_T1_3,T-test,15.975869593363585,5,two-sided,1.7495272185485035e-05,[0.52 0.72],6.522121450164295,951.662,1.0
c_dkhe,T-test,1.3130610492689672,5,two-sided,0.246192301529975,[-1.1   3.41],0.536054928638742,0.692,0.18897969671459322
c_dose_1,T-test,1.6112567856389042e+16,5,two-sided,1.74775303512328e-80,[0.02 0.02],6577928282353816.0,3.703e+06,
c_dose_2,T-test,1.6112567856389042e+16,5,two-sided,1.74775303512328e-80,[0.02 0.02],6577928282353816.0,3.703e+06,
c_kbh,T-test,5.895756185690105,5,two-sided,0.0019964834389495667,[0. 0.],2.4069323837997305,23.496,0.9956810942705551
c_khe,T-test,11.285092639763514,5,two-sided,9.548120588766002e-05,[0. 0.],4.6071197779097774,249.506,
c_khe_f,T-test,7.115868492980216,5,two-sided,0.0008499560261875504,[0.   0.01],2.9050411474248383,45.359,0.9997801057401249
c_khe_i,T-test,6.367714772694912,5,two-sided,0.0014124403114955271,[0. 0.],2.599608670114184,30.654,0.9985187746866135
c_t_scan2,T-test,11.780888989283568,5,two-sided,7.752790394658469e-05,[5676.13 8844.53],4.809527790019563,293.89,0.9999999999953086
c_tmax,T-test,16.575969789931808,5,two-sided,1.4592220745760045e-05,[ 8717.42 11917.45],6.767111329520298,1098.729,
c_vol,T-test,17.87770276266922,5,two-sided,1.0053000185190056e-05,[ 836.64 1117.63],7.29854159028079,1476.293,
d_B1corr_1_a,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
d_B1corr_1_l,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
