parameter,count,mean,std,min,25%,50%,75%,max,IQR,95%CI,95%CI/|mean|,range
CO,8.0,98.27439887217517,24.67349255222209,55.5030916760136,85.65188655546685,102.06273904886751,114.03493240556787,128.58638399393203,28.383045850101027,17.097858021247376,0.17398079476920986,73.08329231791843
Dg,8.0,0.740804456575748,0.07071783557519089,0.6804525650278513,0.6875295909703942,0.7175181347514582,0.7680986089583548,0.8746697539791637,0.08056901798796057,0.04900495986433169,0.06615100574698134,0.19421718895131235
Dhl,8.0,0.4588441877003353,0.1282655769536213,0.3490735846042765,0.380856688113165,0.41904416981854853,0.4784111161761792,0.7473839995655046,0.09755442806301423,0.08888351007157635,0.19371174889900736,0.3983104149612281
Eb,8.0,0.05290297508866139,0.01791134031430093,0.030264096699447504,0.042022022195137294,0.05031771068323532,0.06313928466501925,0.08498288903396749,0.021117262469881957,0.01241192559245453,0.23461677857725546,0.05471879233451998
Eo,8.0,0.17653777007922616,0.04829332564780165,0.13434885552777479,0.14150511974813704,0.15748843652031125,0.195936345768708,0.26589673722768,0.05443122602057096,0.03346556729057855,0.1895660473991484,0.1315478816999052
FA,8.0,14.68749975,0.8838837795290168,12.499999,14.99999975,15.0,15.0,15.0,2.499999993688107e-07,0.6125002100000477,0.04170214266727376,2.5000009999999993
H,8.0,0.45,0.0,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0,0.0
TR,8.0,0.00371,0.0,0.00371,0.00371,0.00371,0.00371,0.00371,0.0,0.0,0.0,0.0
TS,8.0,1.9746874999818829,0.22514851249491716,1.6374999999752617,1.8756249999823922,2.0174999999799184,2.177499999983411,2.177499999983411,0.30187500000101863,0.15601995916003564,0.07900994925094075,0.5400000000081491
Tg,8.0,44.26405891231789,11.385482835651583,26.83609811389166,33.38063981607839,50.73596135828306,53.0666585452353,53.65546557708133,19.686018729156906,7.889737077768831,0.17824251258560608,26.81936746318967
Thl,8.0,16.778890414752183,3.3682505733569665,10.4217884728364,15.442677905584272,17.007321706435185,18.6659060409461,21.60555109721994,3.223228135361829,2.3340785647330637,0.13910804034341367,11.18376262438354
To,8.0,31.59378323219697,10.94527834519827,15.382977617036728,26.534439564918937,28.692858730466707,37.122952614294704,52.58615989945232,10.588513049375766,7.58469092906669,0.24006909439503887,37.20318228241559
To_e,8.0,400.73228690068856,142.00604838078104,230.71689256506275,334.44287163534545,374.09231042942116,419.8053025817081,710.9330997445627,85.36243094636262,98.4051709839641,0.24556337036139878,480.2162071795
a_CL,8.0,-1.8092196286241073,0.7930483881945694,-3.64578062959793,-1.80428129370383,-1.603306498154201,-1.4703685773349082,-1.0219072959148634,0.3339127163689217,0.5495544952394127,0.3037522291626601,2.6238733336830666
a_kbh,8.0,-0.00023734774491689933,0.00010258616608211239,-0.0003488719851214104,-0.0002847943655005984,-0.00023799346618574467,-0.0002321045433680056,-1.2433173548233382e-05,5.268982213259282e-05,7.108858621873925e-05,0.2995123726312585,0.00033643881157317704
a_khe,8.0,-0.002041033858182332,0.0009737072624718,-0.004167198933846166,-0.0022769841927127747,-0.0017585520314589453,-0.0015022121814783633,-0.0011622759974139368,0.0007747720112344114,0.0006747447080207113,0.33058966920892413,0.003004922936432229
c_B1corr_1_a,8.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_B1corr_1_l,8.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_B1corr_2_a,8.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_B1corr_2_l,8.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_BAT_1,8.0,71.2712118919265,5.301925078750161,66.03814777523478,67.78886767258143,68.68058829645783,74.53831182404856,80.2506665516564,6.749444151467131,3.674046632996713,0.051550219723609104,14.212518776421618
c_BAT_2,8.0,9547.926353934374,3216.1107967867324,7268.359517573516,7714.27173629318,8547.729302910313,9648.70261694742,17162.67116245121,1934.4308806542394,2228.6510783860654,0.2334172882960827,9894.311644877693
c_CL,8.0,1.9389662976457385,0.8270510654925189,1.1774054869031825,1.5714161833184745,1.7310644705504314,1.9012661693910011,3.8802333272730714,0.3298499860725266,0.5731171484613732,0.29557870560063,2.702827840369889
c_R10_a,8.0,0.5755513049055953,0.027924186072554105,0.544478445580682,0.5583429873144884,0.5641817285476977,0.5910511668650531,0.6288240282615654,0.03270817955056471,0.019350473704397592,0.03362076245760845,0.08434558268088332
c_R10_l,8.0,1.263516226859682,0.08843120208655984,1.1690164128419713,1.1882542746353204,1.2432628798469416,1.3278710289429438,1.4146271976926685,0.13961675430762344,0.06127969661060674,0.048499334878278594,0.2456107848506972
c_R20s_a,8.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
c_R20s_l,8.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
c_S0_1_a,8.0,7467.5068292505875,2558.624770238953,5028.586295726136,5432.652698011101,6432.626371349008,9740.980071216678,11671.154624682298,4308.327373205577,1773.036507036879,0.23743353003599657,6642.568328956162
c_S0_1_l,8.0,6531.534728030809,1552.2491439536739,3983.973083033501,5786.868617951105,6685.59100064494,7233.325922327524,8983.79357359196,1446.4573043764185,1075.653777865043,0.16468622194547247,4999.820490558459
c_S0_2_a,8.0,7785.043132836483,2300.5770820702323,5108.671197395477,6266.8185013096845,6685.917692556308,9861.846309079068,11049.14148184303,3595.027807769384,1594.2185822667373,0.20477967238774736,5940.470284447552
c_S0_2_l,8.0,6863.078471308308,1566.6380610525036,3958.2563269914185,6450.613318316478,7292.822647664327,7767.511370357051,8730.732287692374,1316.898052040573,1085.6247887024663,0.1581833565273972,4772.475960700955
c_T1_1,8.0,0.7947449950000001,0.054007200897157985,0.706900024,0.75312248225,0.804339996,0.8415825045,0.855419983,0.08846002225000005,0.03742508082753891,0.04709067822130658,0.14851995900000003
c_T1_2,8.0,0.53679499425,0.051413020399786825,0.46023999,0.50145499375,0.533470001,0.5671150057500001,0.621599976,0.06566001200000005,0.03562740545865213,0.06637059927958174,0.16135998600000007
c_T1_3,8.0,0.6690425035,0.05915673476515351,0.574929993,0.637877518,0.6721800229999999,0.71788748175,0.739849976,0.08000996374999991,0.040993525739188144,0.061271930444981276,0.164919983
c_dkhe,8.0,0.2537299547557828,0.5506627292168064,-0.32406100348812744,-0.11315436076990625,0.028423777388987048,0.5646256909085315,1.0844056254816994,0.6777800516784378,0.38158980297637746,1.5039209830138536,1.4084666289698269
c_dose_1,8.0,0.021875000000000002,0.0057863756235784465,0.0125,0.021875000000000002,0.025,0.025,0.025,0.0031249999999999993,0.004009753733086359,0.18330302779823357,0.0125
c_dose_2,8.0,0.0203125,0.009300297614285562,0.0,0.021875000000000002,0.025,0.025,0.025,0.0031249999999999993,0.006444777439912103,0.31728135088798043,0.025
c_kbh,8.0,0.000353568687287068,8.871526795319784e-05,0.00020199518520354624,0.0003171014205184425,0.0003627879368383129,0.0004051145169951739,0.0004870469475049034,8.80130964767314e-05,6.147654421319803e-05,0.17387440241076624,0.00028505176230135716
c_khe,8.0,0.0021806122167351534,0.001024642354260504,0.001257608524281379,0.0016348685377128094,0.001852455002722221,0.002400395397948822,0.00443925917796913,0.0007655268602360125,0.00071004092584878,0.325615403050371,0.003181650653687751
