Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,cohen
parameter,CO,Dg,True,True,17.18210930764505,2.0,two-sided,0.003370134797490222,11.378,13.984065734850523
parameter,CO,Dhl,True,True,17.197892807812252,2.0,two-sided,0.0033639828658580105,11.389,14.025418501116738
parameter,CO,Eb,True,True,17.26335441224686,2.0,two-sided,0.0033386465722793223,11.434,14.072090363379687
parameter,CO,Eo,True,True,17.22040920275644,2.0,two-sided,0.003355235720568085,11.405,14.057689954697604
parameter,CO,FA,True,True,15.540605272366703,2.0,two-sided,0.004115067469704955,10.246,12.688851070434804
parameter,CO,H,True,True,17.177809783157652,2.0,two-sided,0.0033718135420556738,11.375,14.025622955775075
parameter,CO,TR,True,True,17.241071081956022,2.0,two-sided,0.0033472389483959687,11.419,14.077275589948973
parameter,CO,TS,True,True,17.00463936575675,2.0,two-sided,0.003440482595300452,11.256,13.87137289233767
parameter,CO,Tg,True,True,9.297682379722263,2.0,two-sided,0.011370867374348679,5.946,7.233759507887037
parameter,CO,Thl,True,True,12.497019436558192,2.0,two-sided,0.006342203581851414,8.147,11.846780266734541
parameter,CO,To,True,True,10.61975334137916,2.0,two-sided,0.008750670014161991,6.855,9.151637593934264
parameter,CO,To_e,True,True,-2.4698083295002955,2.0,two-sided,0.1321953026978889,1.396,-2.1292449139711853
parameter,CO,a_CL,True,True,16.871779460456093,2.0,two-sided,0.0034945965344712897,11.164,14.109002220943491
parameter,CO,a_kbh,True,True,17.241226270341073,2.0,two-sided,0.003347178993827631,11.419,14.077722222839173
parameter,CO,a_khe,True,True,17.24123377223073,2.0,two-sided,0.0033471760956324324,11.419,14.07774060731395
parameter,CO,c_B1corr_1_a,True,True,17.09984766359619,2.0,two-sided,0.003402472272515015,11.321,13.961967151711253
parameter,CO,c_B1corr_1_l,True,True,17.09984766359619,2.0,two-sided,0.003402472272515015,11.321,13.961967151711253
parameter,CO,c_B1corr_2_a,True,True,17.09984766359619,2.0,two-sided,0.003402472272515015,11.321,13.961967151711253
parameter,CO,c_B1corr_2_l,True,True,17.09984766359619,2.0,two-sided,0.003402472272515015,11.321,13.961967151711253
parameter,CO,c_BAT_1,True,True,5.9840290025242755,2.0,two-sided,0.026808350616277205,3.683,4.239217398730133
parameter,CO,c_BAT_2,True,True,-27.96694738755151,2.0,two-sided,0.0012760801643847562,18.825,-23.181105989444525
parameter,CO,c_CL,True,True,17.71258505891579,2.0,two-sided,0.0031722378417813808,11.744,14.00637593948736
parameter,CO,c_R10_a,True,True,17.161687136817964,2.0,two-sided,0.0033781197761971536,11.364,14.016838213285647
parameter,CO,c_R10_l,True,True,17.11668139048708,2.0,two-sided,0.0033958171450260482,11.333,13.95835791165381
parameter,CO,c_R20s_a,True,True,14.406610806017985,2.0,two-sided,0.0047835620850695,9.464,11.762948465870116
parameter,CO,c_R20s_l,True,True,14.406610806017985,2.0,two-sided,0.0047835620850695,9.464,11.762948465870116
parameter,CO,c_S0_1_a,True,True,-15.926707772514057,2.0,two-sided,0.003919124342352013,10.512,-13.004094660578337
parameter,CO,c_S0_1_l,True,True,-13.182975814430632,2.0,two-sided,0.005704850835357285,8.62,-10.763850893917395
parameter,CO,c_S0_2_a,True,True,-13.460387034982858,2.0,two-sided,0.005474033605359558,8.811,-10.990354340375978
parameter,CO,c_S0_2_l,True,True,-14.30709926778746,2.0,two-sided,0.004849851647240771,9.395,-11.681692364952594
parameter,CO,c_T1_1,True,True,17.090680097283656,2.0,two-sided,0.0034061048403524834,11.315,13.963456618961493
parameter,CO,c_T1_2,True,True,17.05657574017837,2.0,two-sided,0.003419669505945276,11.292,13.985197867067136
parameter,CO,c_T1_3,True,True,17.060914417785813,2.0,two-sided,0.0034179393541132314,11.295,13.983387629225113
parameter,CO,c_dkhe,True,True,17.05763809589822,2.0,two-sided,0.0034192457448791,11.292,14.029200709355825
parameter,CO,c_dose_1,True,True,17.23805323918244,2.0,two-sided,0.0033484051638104123,11.417,14.074811531642574
parameter,CO,c_dose_2,True,True,17.23805323918244,2.0,two-sided,0.0033484051638104123,11.417,14.074811531642574
parameter,CO,c_kbh,True,True,17.2414639043593,2.0,two-sided,0.0033470871908145875,11.419,14.077663137925498
parameter,CO,c_khe,True,True,17.24196943394464,2.0,two-sided,0.003346891906658475,11.42,14.077646295876157
parameter,CO,c_khe_f,True,True,17.241993054650646,2.0,two-sided,0.0033468827824868195,11.42,14.077640504259888
parameter,CO,c_khe_i,True,True,17.24194581108335,2.0,two-sided,0.003346901031699924,11.42,14.077652085619416
parameter,CO,c_t_scan2,True,True,-15.312408550168106,2.0,two-sided,0.0042378485031502626,10.088,-12.724646915405035
parameter,CO,c_tmax,True,True,-31.824520332212842,2.0,two-sided,0.0009859017549793093,21.49,-26.377482519314064
parameter,CO,c_vol,True,True,-7.251045226466149,2.0,two-sided,0.018493521323825365,4.545,-5.667378858915067
parameter,CO,d_B1corr_1_a,True,True,17.09984766359619,2.0,two-sided,0.003402472272515015,11.321,13.961967151711253
parameter,CO,d_B1corr_1_l,True,True,17.09984766359619,2.0,two-sided,0.003402472272515015,11.321,13.961967151711253
parameter,CO,d_B1corr_2_a,True,True,17.09984766359619,2.0,two-sided,0.003402472272515015,11.321,13.961967151711253
parameter,CO,d_B1corr_2_l,True,True,17.09984766359619,2.0,two-sided,0.003402472272515015,11.321,13.961967151711253
parameter,CO,d_BAT_1,True,True,6.57464408723746,2.0,two-sided,0.02236121388241959,4.084,5.03433744829682
parameter,CO,d_BAT_2,True,True,-58.16016803927755,2.0,two-sided,0.00029549909904828396,39.683,-45.381798944325865
parameter,CO,d_CL,True,True,17.31872735206463,2.0,two-sided,0.0033174374298387895,11.473,14.047735075043434
parameter,CO,d_R10_a,True,True,17.18527581688774,2.0,two-sided,0.00336889923766048,11.38,14.017715254609403
parameter,CO,d_R10_l,True,True,17.072577222890096,2.0,two-sided,0.0034132950228859945,11.303,13.950370242758915
parameter,CO,d_R20s_a,True,True,14.406610806017985,2.0,two-sided,0.0047835620850695,9.464,11.762948465870116
parameter,CO,d_R20s_l,True,True,14.406610806017985,2.0,two-sided,0.0047835620850695,9.464,11.762948465870116
parameter,CO,d_S0_1_a,True,True,-9.52629046723629,2.0,two-sided,0.010840403918623094,6.103,-7.778180319750772
parameter,CO,d_S0_1_l,True,True,-12.579173612753536,2.0,two-sided,0.0062604064089257045,8.204,-10.270848697497193
parameter,CO,d_S0_2_a,True,True,-7.952446869248513,2.0,two-sided,0.015446992860441506,5.024,-6.493143829634733
parameter,CO,d_S0_2_l,True,True,-11.304332601713021,2.0,two-sided,0.007734789873485091,7.326,-9.22994504602435
