parameter,,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power
CO,T-test,17.24159697188978,2,two-sided,0.003347035785679125,[ 91.28 151.99],9.954440652979601,11.419,
Dg,T-test,21.84644401536087,2,two-sided,0.0020887004519431424,[0.65 0.97],12.613050333104686,14.598,0.9999999999253392
Dhl,T-test,5.062791339388263,2,two-sided,0.036869804369950694,[0.07 0.82],2.92300394264672,3.063,0.7276987480272908
Eb,T-test,3.8687398500333368,2,two-sided,0.06078482141318445,[-0.01  0.1 ],2.233617993841379,2.273,0.5420254942565296
Eo,T-test,18.269118228431683,2,two-sided,0.002982760236058919,[0.13 0.21],10.547680327042132,12.128,
FA,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
H,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
TR,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
TS,T-test,136.90860214065196,2,two-sided,5.334623507968613e-05,[1.73 1.84],79.04421830028078,94.089,1.0
Tg,T-test,17.725985680052197,2,two-sided,0.0031674660670387997,[40.61 66.65],10.234102604029589,11.754,0.9999997885037355
Thl,T-test,12.654328244279037,2,two-sided,0.006186952181790444,[11.46 23.26],7.305979818248387,8.256,0.9996132489799872
To,T-test,7.204880461240173,2,two-sided,0.018724636171562822,[12.04 47.75],4.159739673776088,4.513,0.9243713832822272
To_e,T-test,4.207529985734697,2,two-sided,0.05211065778608103,[ -7.28 651.56],2.4292185698873494,2.494,0.5992147726198974
a_CL,T-test,-1.6208295637400074,2,two-sided,0.2464996685293857,[-1.16  0.53],0.9357863849357969,0.93,0.1641982686925126
a_kbh,T-test,-0.6671017063095864,2,two-sided,0.5733709468415858,[-0.  0.],0.3851513497146984,0.557,0.07038824511007764
a_khe,T-test,-1.5705893815532452,2,two-sided,0.2568665931642595,[-0.  0.],0.906780202226134,0.906,0.1576396657822064
c_B1corr_1_a,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
c_B1corr_1_l,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
c_B1corr_2_a,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
c_B1corr_2_l,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
c_BAT_1,T-test,14.468732170984605,2,two-sided,0.004742865047350147,[53.38 98.57],8.353526413750561,9.506,0.9999648829420165
c_BAT_2,T-test,28.879272334270365,2,two-sided,0.0011968707987803561,[6261.12 8453.41],16.673455656191507,19.455,1.0
c_CL,T-test,2.528005510774553,2,two-sided,0.12727779792974525,[-0.39  1.51],1.4595446621585455,1.431,0.30430600152782483
c_R10_a,T-test,100.03959193905584,2,two-sided,9.990588934802788e-05,[0.5  0.55],57.7578853356342,68.616,1.0
c_R10_l,T-test,15.64755940333709,2,two-sided,0.004059346041687876,[0.74 1.31],9.034122633677327,10.319,
c_R20s_a,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
c_R20s_l,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
c_S0_1_a,T-test,15.926709641151431,2,two-sided,0.003919123428110953,[1.24041222e+08 2.15869111e+08],9.195290098623786,10.512,0.9999959517351241
c_S0_1_l,T-test,13.182987018175512,2,two-sided,0.005704841221487064,[6.81940616e+07 1.34276116e+08],7.611201103666974,8.62,0.9998012795902442
c_S0_2_a,T-test,13.46038930089995,2,two-sided,0.005474031777471315,[1.21237143e+08 2.35160780e+08],7.771359386271744,8.811,0.9998614001704504
c_S0_2_l,T-test,14.307108451158635,2,two-sided,0.0048498454664679,[7.78159675e+07 1.44749161e+08],8.260212915601608,9.395,
c_T1_1,T-test,15.959272895537564,2,two-sided,0.003903240028099559,[0.72 1.25],9.214090502309311,10.534,0.9999961515491728
c_T1_2,T-test,11.477858304528803,2,two-sided,0.007505290411557911,[0.5  1.09],6.626744581840087,7.445,0.9984564623448995
c_T1_3,T-test,10.021071360603441,2,two-sided,0.009811674118370311,[0.46 1.15],5.785668247612847,6.443,0.9928943107727811
c_dkhe,T-test,1.130557771917652,2,two-sided,0.37557881593248765,[-0.9   1.54],0.65272783395108,0.71,0.10738831604909951
c_dose_1,T-test,1.0190482676041238e+16,2,two-sided,9.629649721936175e-33,[0.02 0.03],5883477916184627.0,48.738,
c_dose_2,T-test,1.0190482676041238e+16,2,two-sided,9.629649721936175e-33,[0.02 0.03],5883477916184627.0,48.738,
c_kbh,T-test,2.35087106188097,2,two-sided,0.14310118261073337,[-0.  0.],1.3572760404070794,1.327,0.27436982040298785
c_khe,T-test,2.755534326369645,2,two-sided,0.11032928474671776,[-0.  0.],1.5909084850907684,1.568,0.3439055710369557
c_khe_f,T-test,2.501308699447157,2,two-sided,0.12950132997714212,[-0.  0.],1.4441312509521689,1.415,0.2997374013652266
c_khe_i,T-test,2.5805313363280327,2,two-sided,0.12305631105504307,[-0.  0.],1.4898704616812541,1.462,0.31334717635653264
c_t_scan2,T-test,15.939524948015105,2,two-sided,0.0039128609706520386,[4023.04 6998.02],9.202689019491277,10.521,0.9999960315322844
c_tmax,T-test,32.81194050085578,2,two-sided,0.0009275377740683336,[7033.22 9156.14],18.943982680803067,22.172,1.0
c_vol,T-test,7.87709301924941,2,two-sided,0.01573697125798564,[ 469.52 1599.87],4.547841775095369,4.972,0.9538640253951113
d_B1corr_1_a,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
d_B1corr_1_l,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
d_B1corr_2_a,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
d_B1corr_2_l,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
d_BAT_1,T-test,19.461431592390362,2,two-sided,0.002629871874753915,[56.43 88.47],11.236062768682064,12.952,
d_BAT_2,T-test,56.64149032647181,2,two-sided,0.00031154993349141757,[6548.96 7625.71],32.701979687290084,38.634,1.0
d_CL,T-test,1.9183577762311166,2,two-sided,0.19508179942912374,[-0.3   0.78],1.1075643785090472,1.084,0.20602078969841525
d_R10_a,T-test,63.41789838219808,2,two-sided,0.0002485503442182609,[0.48 0.55],36.614340702402394,43.315,1.0
d_R10_l,T-test,20.52089947620636,2,two-sided,0.0023662661890327666,[0.87 1.33],11.84774683660099,13.683,0.9999999988462807
d_R20s_a,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
d_R20s_l,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
d_S0_1_a,T-test,9.526294091253636,2,two-sided,0.010840395804386475,[8.32091063e+07 2.20285856e+08],5.500008457964828,6.103,
d_S0_1_l,T-test,12.579183704783041,2,two-sided,0.0062603964578635445,[6.97280428e+07 1.42225942e+08],7.262595098142244,8.204,0.9995757940969247
d_S0_2_a,T-test,7.952450305732429,2,two-sided,0.015446979817996368,[7.78682920e+07 2.61462156e+08],4.591349324731739,5.024,
d_S0_2_l,T-test,11.304341303569656,2,two-sided,0.007734778103119863,[6.33419404e+07 1.41191268e+08],6.526564494627347,7.326,0.9981284058872039
d_T1_1,T-test,20.161696708778603,2,two-sided,0.0024510200369860084,[0.72 1.11],11.640361022132916,13.435,0.99999999764771
d_T1_2,T-test,12.103102941955871,2,two-sided,0.006757514433126235,[0.51 1.07],6.987729741567975,7.876,
d_T1_3,T-test,14.683250034145514,2,two-sided,0.004606242768078638,[0.58 1.07],8.477378359792494,9.654,0.999974110875565
d_dkhe,T-test,1.996361320783159,2,two-sided,0.18399948273866562,[-0.95  2.58],1.1525997459539137,1.126,0.2177527386227419
d_dose_1,T-test,1.0190482676041238e+16,2,two-sided,9.629649721936175e-33,[0.02 0.03],5883477916184627.0,48.738,
