,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,odds-ratio,group,parameter,description
0,visit,control,drug,True,True,-0.8597970166950653,5.0,two-sided,0.429188937358946,0.498,0.4980850074563763,MRI - aorta,CO,Cardiac output
0,visit,control,drug,True,True,0.12208356388706967,5.0,two-sided,0.9075878302293239,0.376,1.087728696448876,MRI - aorta,Thl,Heart-lung mean transit time
0,visit,control,drug,True,True,-0.669896465606298,5.0,two-sided,0.5326122048131372,0.447,0.5289593441115824,MRI - aorta,Dhl,Heart-lung dispersion
0,visit,control,drug,True,True,1.5166913388385352,5.0,two-sided,0.18978978537050406,0.819,4.646475112875761,MRI - aorta,To,Organs blood mean transit time
0,visit,control,drug,True,True,0.5393718884819986,5.0,two-sided,0.6127723724902862,0.42,1.890666546322356,MRI - aorta,Eo,Organs extraction fraction
0,visit,control,drug,True,True,0.8664920745991758,5.0,two-sided,0.4258380954449947,0.5,3.060083878756185,MRI - aorta,Toe,Organs extravascular mean transit time
0,visit,control,drug,True,True,3.028790889403076,5.0,two-sided,0.02912169821470719,3.106,21.22706029169869,MRI - aorta,Eb,Body extraction fraction
0,visit,control,drug,True,True,-1.8853626866432833,5.0,two-sided,0.11806085633156814,1.131,0.15991020804312736,MRI - aorta,AUC_Cb,AUC for Cb (0-inf)
0,visit,control,drug,True,True,-1.9042800222657754,5.0,two-sided,0.11522873296393779,1.151,0.26871006127254876,MRI - aorta,AUC35_Cb,AUC for Cb (0-35min)
0,visit,control,drug,True,True,-3.643300821446943,5.0,two-sided,0.014852044374314838,5.126,0.06074011303974622,MRI - aorta,RE_R1b,RE for R1b at 20min
0,visit,control,drug,True,True,-1.1133587399522664,5.0,two-sided,0.3161945510413018,0.593,0.4439294685528625,MRI - aorta,RE_Sb,RE for Sb at 20min
0,visit,control,drug,True,True,0.18099015135092017,5.0,two-sided,0.8634830735651295,0.378,1.1392233484512984,MRI - liver,Tg,Gut mean transit time
0,visit,control,drug,True,True,1.0712213627835203,5.0,two-sided,0.3330303776472583,0.575,1.8137791987540886,MRI - liver,Dg,Gut dispersion
0,visit,control,drug,True,True,-2.8772129614893878,5.0,two-sided,0.03470086047405952,2.729,0.04437826175783749,MRI - liver,ve,Liver extracellular volume fraction
0,visit,control,drug,True,True,6.768435319456696,5.0,two-sided,0.001069797393184739,37.974,216.10662809938088,MRI - liver,khe_i,Initial hepatocellular uptake rate
0,visit,control,drug,True,True,7.175544090569017,5.0,two-sided,0.0008178098939093484,46.732,41.67952830358847,MRI - liver,khe_f,Final hepatocellular uptake rate
0,visit,control,drug,True,True,9.715449379205642,5.0,two-sided,0.00019629719408751,141.82,161.81417770005365,MRI - liver,khe,Hepatocellular uptake rate
0,visit,control,drug,True,True,-1.8461061201145035,5.0,two-sided,0.12416880580768427,1.092,0.13779882921791212,MRI - liver,Th,Hepatocellular mean transit time
0,visit,control,drug,True,True,3.3149362412633625,5.0,two-sided,0.0211254660288355,3.941,15.847406788330217,MRI - liver,kbh_i,Initial biliary excretion rate
0,visit,control,drug,True,True,1.9107821024594547,5.0,two-sided,0.11427156957782586,1.157,3.5908708851612126,MRI - liver,kbh_f,Final biliary excretion rate
0,visit,control,drug,True,True,9.04529712058388,5.0,two-sided,0.0002760165627100628,108.67,1230.47276035125,MRI - liver,Khe,Hepatocellular tissue uptake rate
0,visit,control,drug,True,True,3.0418975237453827,5.0,two-sided,0.028688502203616257,3.14,12.997449187182417,MRI - liver,kbh,Biliary excretion rate
0,visit,control,drug,True,True,2.5365953279523796,5.0,two-sided,0.05210945003101218,2.027,5.666171750904258,MRI - liver,Kbh,Biliary tissue excretion rate
0,visit,control,drug,True,True,7.812980448269767,5.0,two-sided,0.0005506320707698773,63.491,33.873703558359615,MRI - liver,CL,Liver plasma clearance
0,visit,control,drug,True,True,2.187307578117279,5.0,two-sided,0.08036897201801203,1.483,7.635494636532919,MRI - liver,AUC_Cl,AUC for Cl (0-inf)
0,visit,control,drug,True,True,7.225867022878867,5.0,two-sided,0.000791815770777284,47.914,87.60989907945758,MRI - liver,AUC35_Cl,AUC for Cl (0-35min)
0,visit,control,drug,True,True,6.046858594263261,5.0,two-sided,0.0017829225512785128,25.628,215.6159440137618,MRI - liver,RE_R1l,RE for R1l at 20min
0,visit,control,drug,True,True,6.442045170338352,5.0,two-sided,0.0013400617463342238,31.921,325.69881770966845,MRI - liver,RE_Sl,RE for Sl at 20min
0,visit,control,drug,True,True,-1.2368229710168492,5.0,two-sided,0.2710743410720588,0.651,0.5286017092495923,MRI - liver,T1_1,Liver T1-MOLLI at baseline
0,visit,control,drug,True,True,-2.7905373428922915,5.0,two-sided,0.03842048187526236,2.532,0.07293967063425123,MRI - liver,T1_2,Liver T1-MOLLI at 45min
0,visit,control,drug,True,True,0.037776537175916405,5.0,two-sided,0.9713277305208212,0.373,1.0412399348037078,MRI - liver,T1_3,Liver T1-MOLLI at scan 2
