group,parameter,unit,description,mean control,mean drug,mean effect,95%CI control,95%CI drug,95%CI effect
MRI - aorta,AUC35_Cb,mM*sec,AUC for Cb (0-35min),47.8,63.7,30.7,9.3,23.0,27.0
MRI - aorta,AUC_Cb,mM*sec,AUC for Cb (0-inf),76.2,119.0,59.1,15.0,46.0,55.0
MRI - aorta,CO,L/min,Cardiac output,5.6,6.27,15.9,1.0,1.7,37.0
MRI - aorta,Dhl,%,Heart-lung dispersion,42.4,48.6,114.0,17.0,11.0,210.0
MRI - aorta,Eb,%,Body extraction fraction,5.73,3.43,-36.3,1.1,1.1,27.0
MRI - aorta,Eo,%,Organs extraction fraction,19.3,17.9,1.5,3.9,2.2,38.0
MRI - aorta,RE_R1b,%,RE for R1b at 20min,16.9,24.0,41.8,2.1,4.8,20.0
MRI - aorta,RE_Sb,%,RE for Sb at 20min,19.7,22.7,28.1,5.4,5.3,43.0
MRI - aorta,Thl,sec,Heart-lung mean transit time,18.2,17.8,157000.0,7.4,4.2,310000.0
MRI - aorta,To,sec,Organs blood mean transit time,31.6,25.3,-18.6,4.3,7.3,23.0
MRI - aorta,Toe,min,Organs extravascular mean transit time,6.67,5.25,-5.9,2.1,1.6,45.0
MRI - liver,AUC35_Cl,mM*sec,AUC for Cl (0-35min),201.0,95.4,-52.3,43.0,23.0,7.6
MRI - liver,AUC_Cl,mM*sec,AUC for Cl (0-inf),714.0,480.0,-30.8,140.0,190.0,30.0
MRI - liver,CL,L/min,Liver plasma clearance,0.124,0.0452,-65.4,0.04,0.022,6.9
MRI - liver,Dg,%,Gut dispersion,76.2,71.5,-4.43,13.0,9.7,12.0
MRI - liver,Kbh,/min,Biliary tissue excretion rate,0.0266,0.0143,-43.7,0.0099,0.011,31.0
MRI - liver,Khe,/min,Hepatocellular tissue uptake rate,0.72,0.186,-73.8,0.15,0.046,4.3
MRI - liver,RE_R1l,%,RE for R1l at 20min,76.0,24.5,-66.7,19.0,5.0,7.1
MRI - liver,RE_Sl,%,RE for Sl at 20min,64.7,21.4,-65.9,15.0,3.7,6.4
MRI - liver,T1_1,sec,Liver T1-MOLLI at baseline,0.734,0.751,2.68,0.048,0.028,4.0
MRI - liver,T1_2,sec,Liver T1-MOLLI at 45min,0.469,0.629,40.3,0.1,0.075,25.0
MRI - liver,T1_3,sec,Liver T1-MOLLI at scan 2,0.625,0.623,0.818,0.055,0.059,13.0
MRI - liver,Tg,sec,Gut mean transit time,28.1,27.5,2.81,7.6,4.7,20.0
MRI - liver,Th,min,Hepatocellular mean transit time,43.9,153.0,306.0,13.0,110.0,350.0
MRI - liver,kbh,mL/min/100cm3,Biliary excretion rate,1.74,0.743,-51.5,0.63,0.48,32.0
MRI - liver,kbh_f,mL/min/100cm3,Final biliary excretion rate,1.82,1.3,-26.0,0.64,0.54,32.0
MRI - liver,kbh_i,mL/min/100cm3,Initial biliary excretion rate,1.69,0.656,-55.3,0.62,0.46,30.0
MRI - liver,khe,mL/min/100cm3,Hepatocellular uptake rate,13.6,4.77,-65.7,3.1,1.8,6.5
MRI - liver,khe_f,mL/min/100cm3,Final hepatocellular uptake rate,14.0,7.15,-49.4,3.0,2.3,10.0
MRI - liver,khe_i,mL/min/100cm3,Initial hepatocellular uptake rate,13.2,2.38,-82.4,3.9,1.2,5.2
MRI - liver,ve,mL/100cm3,Liver extracellular volume fraction,18.9,24.8,32.6,1.9,3.3,22.0
