Biomarker,p-value,Bayes Factor,Odds Ratio
AUC for Cb (0-35min),0.11523,1.15,0.27
AUC for Cb (0-inf),0.11806,1.13,0.16
Body extraction fraction,0.02912,3.11,21.23
Cardiac output,0.42919,0.5,0.5
Heart-lung dispersion,0.53261,0.45,0.53
Heart-lung mean transit time,0.90759,0.38,1.09
Organs blood mean transit time,0.18979,0.82,4.65
Organs extraction fraction,0.61277,0.42,1.89
Organs extravascular mean transit time,0.42584,0.5,3.06
RE for R1b at 20min,0.01485,5.13,0.06
RE for Sb at 20min,0.31619,0.59,0.44
