Biomarker,p-value,Bayes Factor,Odds Ratio
AUC for Cl (0-35min),0.00079,47.91,87.61
AUC for Cl (0-inf),0.08037,1.48,7.64
Biliary excretion rate,0.02869,3.14,13.0
Biliary tissue excretion rate,0.05211,2.03,5.67
Final biliary excretion rate,0.11427,1.16,3.59
Final hepatocellular uptake rate,0.00082,46.73,41.68
Gut dispersion,0.33303,0.58,1.81
Gut mean transit time,0.86348,0.38,1.14
Hepatocellular mean transit time,0.12417,1.09,0.14
Hepatocellular tissue uptake rate,0.00028,108.67,1230.47
Hepatocellular uptake rate,0.0002,141.82,161.81
Initial biliary excretion rate,0.02113,3.94,15.85
Initial hepatocellular uptake rate,0.00107,37.97,216.11
Liver T1-MOLLI at 45min,0.03842,2.53,0.07
Liver T1-MOLLI at baseline,0.27107,0.65,0.53
Liver T1-MOLLI at scan 2,0.97133,0.37,1.04
Liver extracellular volume fraction,0.0347,2.73,0.04
Liver plasma clearance,0.00055,63.49,33.87
RE for R1l at 20min,0.00178,25.63,215.62
RE for Sl at 20min,0.00134,31.92,325.7
