,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,odds-ratio,group,parameter,description
0,visit,control,drug,True,True,1.6997814727347296,5.0,two-sided,0.14991901575462133,0.96,2.413464452280159,MRI - aorta,CO,Cardiac output
0,visit,control,drug,True,True,-0.6403298707434348,5.0,two-sided,0.5501456655299988,0.44,0.44127198866016243,MRI - aorta,Thl,Heart-lung mean transit time
0,visit,control,drug,True,True,-0.7128103655168371,5.0,two-sided,0.5078378709700027,0.457,0.6302621171357431,MRI - aorta,Dhl,Heart-lung dispersion
0,visit,control,drug,True,True,-0.35331099516295095,5.0,two-sided,0.7382635004790448,0.393,0.709799861442417,MRI - aorta,To,Organs blood mean transit time
0,visit,control,drug,True,True,-1.0623053485618406,5.0,two-sided,0.33668942500078514,0.571,0.24232957650062206,MRI - aorta,Eo,Organs extraction fraction
0,visit,control,drug,True,True,1.7193034176519038,5.0,two-sided,0.14619325830364824,0.976,4.7590431892754514,MRI - aorta,Toe,Organs extravascular mean transit time
0,visit,control,drug,True,True,-0.6328166057997227,5.0,two-sided,0.5546606958198932,0.439,0.4824476264792119,MRI - aorta,Eb,Body extraction fraction
0,visit,control,drug,True,True,0.23263282280706934,5.0,two-sided,0.8252691784012407,0.382,1.2796904267112503,MRI - aorta,AUC_Cb,AUC for Cb (0-inf)
0,visit,control,drug,True,True,-1.1592278192669683,5.0,two-sided,0.2987112072336175,0.614,0.3871763742350848,MRI - aorta,AUC35_Cb,AUC for Cb (0-35min)
0,visit,control,drug,True,True,-0.6475514698844435,5.0,two-sided,0.5458285530504849,0.442,0.5722679270356833,MRI - aorta,RE_R1b,RE for R1b at 20min
0,visit,control,drug,True,True,1.1492862143091274,5.0,two-sided,0.3024269460101297,0.609,2.296339825056316,MRI - aorta,RE_Sb,RE for Sb at 20min
0,visit,control,drug,True,True,0.3079615339230656,5.0,two-sided,0.770527661776039,0.388,1.4690717000600888,MRI - liver,Tg,Gut mean transit time
0,visit,control,drug,True,True,0.6003609111771208,5.0,two-sided,0.5744378912722424,0.432,1.8460223434260847,MRI - liver,Dg,Gut dispersion
0,visit,control,drug,True,True,2.1203546786641967,5.0,two-sided,0.08746626543516242,1.397,8.103645263446664,MRI - liver,ve,Liver extracellular volume fraction
0,visit,control,drug,True,True,0.6533454772836226,5.0,two-sided,0.5423809770180879,0.443,1.9394196569100688,MRI - liver,khe_i,Initial hepatocellular uptake rate
0,visit,control,drug,True,True,1.617653238525938,5.0,two-sided,0.16666108691930367,0.893,2.720981532477193,MRI - liver,khe_f,Final hepatocellular uptake rate
0,visit,control,drug,True,True,5.882564382208361,5.0,two-sided,0.0020165186248569562,23.317,3.842994326721205,MRI - liver,khe,Hepatocellular uptake rate
0,visit,control,drug,True,True,-0.7217819462287968,5.0,two-sided,0.5027607120785789,0.46,0.7419445290707622,MRI - liver,Th,Hepatocellular mean transit time
0,visit,control,drug,True,True,-0.20123444469145696,5.0,two-sided,0.848445579625447,0.38,0.8838299259868235,MRI - liver,kbh_i,Initial biliary excretion rate
0,visit,control,drug,True,True,-1.0730926365704279,5.0,two-sided,0.3322667398048714,0.576,0.4213387222545407,MRI - liver,kbh_f,Final biliary excretion rate
0,visit,control,drug,True,True,-1.559863503498978,5.0,two-sided,0.1795386241854201,0.85,0.35286044543141676,MRI - liver,Khe,Hepatocellular tissue uptake rate
0,visit,control,drug,True,True,-0.9460500229462817,5.0,two-sided,0.3875638566745496,0.527,0.5478591992249175,MRI - liver,kbh,Biliary excretion rate
0,visit,control,drug,True,True,0.8167553530468172,5.0,two-sided,0.45121410610019375,0.485,1.5086092730049467,MRI - liver,Kbh,Biliary tissue excretion rate
0,visit,control,drug,True,True,6.252684451987572,5.0,two-sided,0.001533753090884969,28.771,2.504928022361212,MRI - liver,CL,Liver plasma clearance
0,visit,control,drug,True,True,0.6744422356553597,5.0,two-sided,0.5299498945671706,0.448,1.9367516644745524,MRI - liver,AUC_Cl,AUC for Cl (0-inf)
0,visit,control,drug,True,True,-0.014588762095763295,5.0,two-sided,0.9889244880650512,0.373,0.9876513981406417,MRI - liver,AUC35_Cl,AUC for Cl (0-35min)
0,visit,control,drug,True,True,-0.20035481333889965,5.0,two-sided,0.8490975090956494,0.38,0.8549602781478588,MRI - liver,RE_R1l,RE for R1l at 20min
0,visit,control,drug,True,True,-0.4386900969341317,5.0,two-sided,0.6791938632879558,0.404,0.6821768634068686,MRI - liver,RE_Sl,RE for Sl at 20min
0,visit,control,drug,True,True,0.7826789525799632,5.0,two-sided,0.4692439813646914,0.476,1.9221778567095353,MRI - liver,T1_1,Liver T1-MOLLI at baseline
0,visit,control,drug,True,True,-0.7284845067421858,5.0,two-sided,0.49899085728509096,0.461,0.6452485854782625,MRI - liver,T1_2,Liver T1-MOLLI at 45min
0,visit,control,drug,True,True,0.9654337476684527,5.0,two-sided,0.3786679221099747,0.534,3.574930327721369,MRI - liver,T1_3,Liver T1-MOLLI at scan 2
