group,parameter,unit,description,mean control,mean drug,mean effect,95%CI control,95%CI drug,95%CI effect
MRI - aorta,AUC35_Cb,mM*sec,AUC for Cb (0-35min),35.7,41.7,27.2,9.1,9.1,41.0
MRI - aorta,AUC_Cb,mM*sec,AUC for Cb (0-inf),76.3,71.6,36.8,36.0,14.0,85.0
MRI - aorta,CO,L/min,Cardiac output,8.15,6.59,-17.2,2.9,2.2,21.0
MRI - aorta,Dhl,%,Heart-lung dispersion,43.9,45.9,6.56,6.8,5.6,15.0
MRI - aorta,Eb,%,Body extraction fraction,4.62,5.45,76.9,2.1,1.1,110.0
MRI - aorta,Eo,%,Organs extraction fraction,18.0,21.1,23.3,2.5,3.7,39.0
MRI - aorta,RE_R1b,%,RE for R1b at 20min,14.1,15.6,28.9,4.5,3.5,53.0
MRI - aorta,RE_Sb,%,RE for Sb at 20min,16.4,13.2,-4.22,7.3,2.8,30.0
MRI - aorta,Thl,sec,Heart-lung mean transit time,18.4,20.0,16.2,3.5,2.3,32.0
MRI - aorta,To,sec,Organs blood mean transit time,25.4,27.0,12.1,4.9,8.5,41.0
MRI - aorta,Toe,min,Organs extravascular mean transit time,8.74,6.91,-16.4,2.1,1.2,22.0
MRI - liver,AUC35_Cl,mM*sec,AUC for Cl (0-35min),202.0,202.0,11.5,50.0,23.0,36.0
MRI - liver,AUC_Cl,mM*sec,AUC for Cl (0-inf),783.0,664.0,38.5,360.0,77.0,95.0
MRI - liver,CL,L/min,Liver plasma clearance,0.212,0.177,-17.9,0.054,0.056,5.9
MRI - liver,Dg,%,Gut dispersion,72.2,69.4,-3.27,5.2,7.8,12.0
MRI - liver,Kbh,/min,Biliary tissue excretion rate,0.0351,0.0325,-4.68,0.011,0.0082,16.0
MRI - liver,Khe,/min,Hepatocellular tissue uptake rate,0.935,1.19,32.1,0.29,0.42,43.0
MRI - liver,RE_R1l,%,RE for R1l at 20min,71.4,73.3,27.7,23.0,11.0,60.0
MRI - liver,RE_Sl,%,RE for Sl at 20min,61.7,65.7,42.2,20.0,7.4,86.0
MRI - liver,T1_1,sec,Liver T1-MOLLI at baseline,0.761,0.75,-1.31,0.025,0.023,3.5
MRI - liver,T1_2,sec,Liver T1-MOLLI at 45min,0.445,0.47,5.58,0.062,0.098,13.0
MRI - liver,T1_3,sec,Liver T1-MOLLI at scan 2,0.621,0.568,-5.77,0.076,0.041,18.0
MRI - liver,Tg,sec,Gut mean transit time,21.5,20.7,-1.28,2.5,3.4,21.0
MRI - liver,Th,min,Hepatocellular mean transit time,32.0,33.9,8.97,9.4,9.6,19.0
MRI - liver,kbh,mL/min/100cm3,Biliary excretion rate,1.98,2.28,18.2,0.71,0.74,27.0
MRI - liver,kbh_f,mL/min/100cm3,Final biliary excretion rate,1.75,2.17,28.0,0.6,0.79,43.0
MRI - liver,kbh_i,mL/min/100cm3,Initial biliary excretion rate,2.36,2.43,11.1,0.98,0.75,31.0
MRI - liver,khe,mL/min/100cm3,Hepatocellular uptake rate,21.4,18.2,-15.0,3.6,3.3,4.0
MRI - liver,khe_f,mL/min/100cm3,Final hepatocellular uptake rate,25.5,20.7,-11.9,8.9,4.2,18.0
MRI - liver,khe_i,mL/min/100cm3,Initial hepatocellular uptake rate,17.3,15.7,2.1,4.2,2.5,40.0
MRI - liver,ve,mL/100cm3,Liver extracellular volume fraction,24.3,17.4,-26.7,3.9,5.6,23.0
