Biomarker,p-value,Bayes Factor,Odds Ratio
AUC for Cb (0-35min),0.29871,0.61,0.39
AUC for Cb (0-inf),0.82527,0.38,1.28
Body extraction fraction,0.55466,0.44,0.48
Cardiac output,0.14992,0.96,2.41
Heart-lung dispersion,0.50784,0.46,0.63
Heart-lung mean transit time,0.55015,0.44,0.44
Organs blood mean transit time,0.73826,0.39,0.71
Organs extraction fraction,0.33669,0.57,0.24
Organs extravascular mean transit time,0.14619,0.98,4.76
RE for R1b at 20min,0.54583,0.44,0.57
RE for Sb at 20min,0.30243,0.61,2.3
