Biomarker,p-value,Bayes Factor,Odds Ratio
AUC for Cl (0-35min),0.98892,0.37,0.99
AUC for Cl (0-inf),0.52995,0.45,1.94
Biliary excretion rate,0.38756,0.53,0.55
Biliary tissue excretion rate,0.45121,0.48,1.51
Final biliary excretion rate,0.33227,0.58,0.42
Final hepatocellular uptake rate,0.16666,0.89,2.72
Gut dispersion,0.57444,0.43,1.85
Gut mean transit time,0.77053,0.39,1.47
Hepatocellular mean transit time,0.50276,0.46,0.74
Hepatocellular tissue uptake rate,0.17954,0.85,0.35
Hepatocellular uptake rate,0.00202,23.32,3.84
Initial biliary excretion rate,0.84845,0.38,0.88
Initial hepatocellular uptake rate,0.54238,0.44,1.94
Liver T1-MOLLI at 45min,0.49899,0.46,0.65
Liver T1-MOLLI at baseline,0.46924,0.48,1.92
Liver T1-MOLLI at scan 2,0.37867,0.53,3.57
Liver extracellular volume fraction,0.08747,1.4,8.1
Liver plasma clearance,0.00153,28.77,2.5
RE for R1l at 20min,0.8491,0.38,0.85
RE for Sl at 20min,0.67919,0.4,0.68
