,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,odds-ratio,group,parameter,description
0,visit,control,drug,True,True,-1.2952894078511648,7.0,two-sided,0.2362992524610014,0.636,0.39585894097873786,MRI - aorta,CO,Cardiac output
0,visit,control,drug,True,True,0.17318238242255374,7.0,two-sided,0.8674094464073421,0.341,1.1428797717143688,MRI - aorta,Thl,Heart-lung mean transit time
0,visit,control,drug,True,True,-2.106411821475784,7.0,two-sided,0.07317510972819606,1.433,0.17538610680174144,MRI - aorta,Dhl,Heart-lung dispersion
0,visit,control,drug,True,True,-0.7207062086922605,7.0,two-sided,0.49444885008952977,0.416,0.659178201842668,MRI - aorta,To,Organs blood mean transit time
0,visit,control,drug,True,True,6.417627208511499,7.0,two-sided,0.0003611800005463434,94.789,15.806791809372669,MRI - aorta,Eo,Organs extraction fraction
0,visit,control,drug,True,True,-1.2503091035061726,7.0,two-sided,0.2513616055778818,0.612,0.4345332217388671,MRI - aorta,Toe,Organs extravascular mean transit time
0,visit,control,drug,True,True,2.481946512026376,7.0,two-sided,0.04208996197149168,2.16,7.850187083717249,MRI - aorta,Eb,Body extraction fraction
0,visit,control,drug,True,True,-2.2510105586401172,7.0,two-sided,0.05910993991653329,1.676,0.2235542290155122,MRI - aorta,AUC_Cb,AUC for Cb (0-inf)
0,visit,control,drug,True,True,-2.3317358066276954,7.0,two-sided,0.05247959993306825,1.831,0.3427132979139057,MRI - aorta,AUC35_Cb,AUC for Cb (0-35min)
0,visit,control,drug,True,True,-2.866774521172611,7.0,two-sided,0.02410290906559912,3.299,0.22089346949778724,MRI - aorta,RE_R1b,RE for R1b at 20min
0,visit,control,drug,True,True,-0.37823834008685653,7.0,two-sided,0.7164628625266005,0.357,0.6956031369253635,MRI - aorta,RE_Sb,RE for Sb at 20min
0,visit,control,drug,True,True,-1.1110211835814852,7.0,two-sided,0.3032580487972209,0.545,0.3194126010598492,MRI - liver,Tg,Gut mean transit time
0,visit,control,drug,True,True,-0.9403846334135171,7.0,two-sided,0.3783296231235219,0.479,0.4163402521266791,MRI - liver,Dg,Gut dispersion
0,visit,control,drug,True,True,-2.58364257630309,7.0,two-sided,0.03627923606137704,2.416,0.09806246066027552,MRI - liver,ve,Liver extracellular volume fraction
0,visit,control,drug,True,True,10.10778907998798,7.0,two-sided,1.9933426120202167e-05,1054.003,9919.243557221494,MRI - liver,khe_i,Initial hepatocellular uptake rate
0,visit,control,drug,True,True,2.8707945181219725,7.0,two-sided,0.023964772508965133,3.313,12.99722721811812,MRI - liver,khe_f,Final hepatocellular uptake rate
0,visit,control,drug,True,True,4.657371022267414,7.0,two-sided,0.0023216673937798654,20.859,60.46605845655447,MRI - liver,khe,Hepatocellular uptake rate
0,visit,control,drug,True,True,-1.543721005621467,7.0,two-sided,0.16656653980514635,0.801,0.21292783789239347,MRI - liver,Th,Hepatocellular mean transit time
0,visit,control,drug,True,True,1.758488268866478,7.0,two-sided,0.12207141188259739,0.993,4.9512457728200285,MRI - liver,kbh_i,Initial biliary excretion rate
0,visit,control,drug,True,True,2.09887283183291,7.0,two-sided,0.07399424569752296,1.421,6.03101547110219,MRI - liver,kbh_f,Final biliary excretion rate
0,visit,control,drug,True,True,2.7473463635875714,7.0,two-sided,0.028613279205819048,2.893,12.134599270191304,MRI - liver,Khe,Hepatocellular tissue uptake rate
0,visit,control,drug,True,True,3.187452505297624,7.0,two-sided,0.015330865354638167,4.678,24.39629922359885,MRI - liver,kbh,Biliary excretion rate
0,visit,control,drug,True,True,3.1298982932167014,7.0,two-sided,0.01661207658365171,4.396,20.687768597910914,MRI - liver,Kbh,Biliary tissue excretion rate
0,visit,control,drug,True,True,4.84433954156565,7.0,two-sided,0.0018684209106317132,24.847,73.73360855701503,MRI - liver,CL,Liver plasma clearance
0,visit,control,drug,True,True,4.790640160622083,7.0,two-sided,0.001987664485790987,23.638,50.24989681205687,MRI - liver,AUC_Cl,AUC for Cl (0-inf)
0,visit,control,drug,True,True,7.830381968601117,7.0,two-sided,0.00010448849913181236,264.174,1017.1893844157078,MRI - liver,AUC35_Cl,AUC for Cl (0-35min)
0,visit,control,drug,True,True,8.369989368458645,7.0,two-sided,6.82178644622805e-05,376.643,1013.3592252425916,MRI - liver,RE_R1l,RE for R1l at 20min
0,visit,control,drug,True,True,8.22361808253931,7.0,two-sided,7.640507501035662e-05,342.717,813.8364205372806,MRI - liver,RE_Sl,RE for Sl at 20min
0,visit,control,drug,True,True,-0.9298453177439222,7.0,two-sided,0.38339727954513303,0.476,0.7287825959724963,MRI - liver,T1_1,Liver T1-MOLLI at baseline
0,visit,control,drug,True,True,-13.84819081318095,7.0,two-sided,2.4186130368401134e-06,6244.03,0.002025311066075478,MRI - liver,T1_2,Liver T1-MOLLI at 45min
0,visit,control,drug,True,True,-4.723225874135543,7.0,two-sided,0.0021494497936192973,22.194,0.058932762877935696,MRI - liver,T1_3,Liver T1-MOLLI at scan 2
