group,parameter,unit,description,mean control,mean drug,mean effect,95%CI control,95%CI drug,95%CI effect
MRI - aorta,AUC35_Cb,mM*sec,AUC for Cb (0-35min),45.3,54.0,17.2,7.3,12.0,16.0
MRI - aorta,AUC_Cb,mM*sec,AUC for Cb (0-inf),74.8,110.0,59.5,29.0,30.0,42.0
MRI - aorta,CO,L/min,Cardiac output,5.07,5.89,29.2,1.4,0.8,30.0
MRI - aorta,Dhl,%,Heart-lung dispersion,37.5,46.9,32.0,6.2,7.3,31.0
MRI - aorta,Eb,%,Body extraction fraction,6.81,3.49,-32.1,2.8,0.67,29.0
MRI - aorta,Eo,%,Organs extraction fraction,20.4,14.2,-29.9,3.0,2.6,7.8
MRI - aorta,RE_R1b,%,RE for R1b at 20min,17.1,22.7,30.5,3.2,5.8,23.0
MRI - aorta,RE_Sb,%,RE for Sb at 20min,16.2,18.1,40.6,6.0,6.6,64.0
MRI - aorta,Thl,sec,Heart-lung mean transit time,17.5,17.2,3.48,3.2,2.6,21.0
MRI - aorta,To,sec,Organs blood mean transit time,31.1,33.6,15.3,8.1,7.2,22.0
MRI - aorta,Toe,min,Organs extravascular mean transit time,6.35,7.56,44.6,2.3,1.1,50.0
MRI - liver,AUC35_Cl,mM*sec,AUC for Cl (0-35min),177.0,32.8,-80.4,36.0,5.8,4.1
MRI - liver,AUC_Cl,mM*sec,AUC for Cl (0-inf),562.0,129.0,-73.9,190.0,25.0,5.8
MRI - liver,CL,L/min,Liver plasma clearance,0.13,0.00738,-93.7,0.051,0.0015,1.6
MRI - liver,Dg,%,Gut dispersion,61.5,69.3,28.7,15.0,4.6,40.0
MRI - liver,Kbh,/min,Biliary tissue excretion rate,0.0272,0.0116,-26.3,0.0077,0.005,70.0
MRI - liver,Khe,/min,Hepatocellular tissue uptake rate,1.77,0.0398,-96.3,1.2,0.012,1.4
MRI - liver,RE_R1l,%,RE for R1l at 20min,63.7,8.8,-85.7,14.0,1.5,1.8
MRI - liver,RE_Sl,%,RE for Sl at 20min,53.4,7.83,-84.9,12.0,1.8,2.5
MRI - liver,T1_1,sec,Liver T1-MOLLI at baseline,0.795,0.805,1.27,0.037,0.041,2.7
MRI - liver,T1_2,sec,Liver T1-MOLLI at 45min,0.537,0.727,35.7,0.036,0.041,5.9
MRI - liver,T1_3,sec,Liver T1-MOLLI at scan 2,0.669,0.759,13.8,0.041,0.038,6.3
MRI - liver,Tg,sec,Gut mean transit time,33.8,43.3,72.3,13.0,7.5,72.0
MRI - liver,Th,min,Hepatocellular mean transit time,60.0,131.0,270.0,51.0,64.0,200.0
MRI - liver,kbh,mL/min/100cm3,Biliary excretion rate,2.05,0.682,-43.1,0.71,0.27,49.0
MRI - liver,kbh_f,mL/min/100cm3,Final biliary excretion rate,1.96,1.04,-13.9,0.79,0.46,61.0
MRI - liver,kbh_i,mL/min/100cm3,Initial biliary excretion rate,2.62,1.27,-36.7,0.97,1.1,52.0
MRI - liver,khe,mL/min/100cm3,Hepatocellular uptake rate,14.5,0.806,-94.0,6.0,0.21,1.3
MRI - liver,khe_f,mL/min/100cm3,Final hepatocellular uptake rate,18.4,0.962,-93.0,12.0,0.26,2.3
MRI - liver,khe_i,mL/min/100cm3,Initial hepatocellular uptake rate,10.7,0.649,-93.6,1.9,0.2,2.3
MRI - liver,ve,mL/100cm3,Liver extracellular volume fraction,13.1,21.1,196.0,5.4,2.9,230.0
