Biomarker,p-value,Bayes Factor,Odds Ratio
AUC for Cb (0-35min),0.05248,1.83,0.34
AUC for Cb (0-inf),0.05911,1.68,0.22
Body extraction fraction,0.04209,2.16,7.85
Cardiac output,0.2363,0.64,0.4
Heart-lung dispersion,0.07318,1.43,0.18
Heart-lung mean transit time,0.86741,0.34,1.14
Organs blood mean transit time,0.49445,0.42,0.66
Organs extraction fraction,0.00036,94.79,15.81
Organs extravascular mean transit time,0.25136,0.61,0.43
RE for R1b at 20min,0.0241,3.3,0.22
RE for Sb at 20min,0.71646,0.36,0.7
