,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,odds-ratio,group,parameter,description
0,visit,control,drug,True,True,2.678283435170795,2.0,two-sided,0.11570727328869278,1.521,60.19201524148705,MRI - aorta,CO,Cardiac output
0,visit,control,drug,True,True,-0.07372085728299561,2.0,two-sided,0.9479421644380637,0.468,0.9155498195078087,MRI - aorta,Thl,Heart-lung mean transit time
0,visit,control,drug,True,True,-1.5290228671683543,2.0,two-sided,0.26586882748105023,0.885,0.2893434994785921,MRI - aorta,Dhl,Heart-lung dispersion
0,visit,control,drug,True,True,-1.9494507829496657,2.0,two-sided,0.19055962679351454,1.101,0.06793452881014926,MRI - aorta,To,Organs blood mean transit time
0,visit,control,drug,True,True,2.3711232777515208,2.0,two-sided,0.1411580787680398,1.338,61.80625209220156,MRI - aorta,Eo,Organs extraction fraction
0,visit,control,drug,True,True,-0.23562667499615322,2.0,two-sided,0.835652308248664,0.479,0.6367206777716236,MRI - aorta,Toe,Organs extravascular mean transit time
0,visit,control,drug,True,True,0.17048407391136103,2.0,two-sided,0.88031606646412,0.473,1.4124821553312,MRI - aorta,Eb,Body extraction fraction
0,visit,control,drug,True,True,-1.0506666078731255,2.0,two-sided,0.40363651101865783,0.679,0.15525585944237186,MRI - aorta,AUC_Cb,AUC for Cb (0-inf)
0,visit,control,drug,True,True,-1.941720511244808,2.0,two-sided,0.19167068498659218,1.097,0.1864535567089627,MRI - aorta,AUC35_Cb,AUC for Cb (0-35min)
0,visit,control,drug,True,True,-1.7478863146908334,2.0,two-sided,0.22259375649113528,0.994,0.19189522168385717,MRI - aorta,RE_R1b,RE for R1b at 20min
0,visit,control,drug,True,True,-1.1068326668519417,2.0,two-sided,0.38367211145574,0.701,0.4022224792989009,MRI - aorta,RE_Sb,RE for Sb at 20min
0,visit,control,drug,True,True,-1.043767885480223,2.0,two-sided,0.406168478874939,0.677,0.2872282970711608,MRI - liver,Tg,Gut mean transit time
0,visit,control,drug,True,True,1.163692535863326,2.0,two-sided,0.36460316739929866,0.723,3.272117125527624,MRI - liver,Dg,Gut dispersion
0,visit,control,drug,True,True,9.91104411977034,2.0,two-sided,0.010027447525440153,6.367,14.810651600230027,MRI - liver,ve,Liver extracellular volume fraction
0,visit,control,drug,True,True,1.621061719353506,2.0,two-sided,0.2464530246671286,0.93,6.130077749777579,MRI - liver,khe_i,Initial hepatocellular uptake rate
0,visit,control,drug,True,True,0.4180044373748959,2.0,two-sided,0.7165487033394202,0.503,1.8050885372657797,MRI - liver,khe_f,Final hepatocellular uptake rate
0,visit,control,drug,True,True,1.1203079456723983,2.0,two-sided,0.379051013087208,0.706,3.2454272536130047,MRI - liver,khe,Hepatocellular uptake rate
0,visit,control,drug,True,True,-0.6108589612815472,2.0,two-sided,0.6034677847883257,0.542,0.4251200838514993,MRI - liver,Th,Hepatocellular mean transit time
0,visit,control,drug,True,True,-0.3140641739914887,2.0,two-sided,0.7832047275915712,0.488,0.6846837775097623,MRI - liver,kbh_i,Initial biliary excretion rate
0,visit,control,drug,True,True,-2.82762926184766,2.0,two-sided,0.10562328736667523,1.612,0.013950516690121715,MRI - liver,kbh_f,Final biliary excretion rate
0,visit,control,drug,True,True,0.08144794368590089,2.0,two-sided,0.9425028833922952,0.469,1.1095439184060645,MRI - liver,Khe,Hepatocellular tissue uptake rate
0,visit,control,drug,True,True,-1.6297447905530287,2.0,two-sided,0.24471659859121392,0.935,0.12795421213884486,MRI - liver,kbh,Biliary excretion rate
0,visit,control,drug,True,True,-1.4162028935758149,2.0,two-sided,0.2923964103310426,0.833,0.2027754121723399,MRI - liver,Kbh,Biliary tissue excretion rate
0,visit,control,drug,True,True,1.0157967458103316,2.0,two-sided,0.4166174142957918,0.666,2.1609895250029085,MRI - liver,CL,Liver plasma clearance
0,visit,control,drug,True,True,0.5446507936884958,2.0,two-sided,0.6406056425651752,0.527,1.819500886059219,MRI - liver,AUC_Cl,AUC for Cl (0-inf)
0,visit,control,drug,True,True,1.7504243431878623,2.0,two-sided,0.22214773116751824,0.996,3.900375098974906,MRI - liver,AUC35_Cl,AUC for Cl (0-35min)
0,visit,control,drug,True,True,1.786345308107583,2.0,two-sided,0.21595920085404302,1.014,7.282775266733791,MRI - liver,RE_R1l,RE for R1l at 20min
0,visit,control,drug,True,True,2.164676631959691,2.0,two-sided,0.16282639134352855,1.22,14.347239164032874,MRI - liver,RE_Sl,RE for Sl at 20min
0,visit,control,drug,True,True,3.333069282857062,2.0,two-sided,0.07943650713800465,1.928,3.609405302935318,MRI - liver,T1_1,Liver T1-MOLLI at baseline
0,visit,control,drug,True,True,0.01816148556372804,2.0,two-sided,0.9871589492294399,0.467,1.012204061114621,MRI - liver,T1_2,Liver T1-MOLLI at 45min
0,visit,control,drug,True,True,-0.7241216322347609,2.0,two-sided,0.5442396363142612,0.572,0.739537060323412,MRI - liver,T1_3,Liver T1-MOLLI at scan 2
