group,parameter,unit,description,mean control,mean drug,mean effect,95%CI control,95%CI drug,95%CI effect
MRI - aorta,AUC35_Cb,mM*sec,AUC for Cb (0-35min),45.2,62.6,35.6,12.0,28.0,34.0
MRI - aorta,AUC_Cb,mM*sec,AUC for Cb (0-inf),88.4,187.0,181.0,49.0,150.0,250.0
MRI - aorta,CO,L/min,Cardiac output,6.96,5.75,-17.1,0.62,0.6,12.0
MRI - aorta,Dhl,%,Heart-lung dispersion,38.1,43.6,17.9,11.0,7.2,26.0
MRI - aorta,Eb,%,Body extraction fraction,4.54,3.76,220.0,3.7,5.4,590.0
MRI - aorta,Eo,%,Organs extraction fraction,19.8,17.2,-12.7,1.8,0.46,10.0
MRI - aorta,RE_R1b,%,RE for R1b at 20min,20.0,29.4,44.3,6.3,15.0,53.0
MRI - aorta,RE_Sb,%,RE for Sb at 20min,20.4,26.9,24.5,7.9,19.0,40.0
MRI - aorta,Thl,sec,Heart-lung mean transit time,19.9,20.1,5.76,6.0,2.6,33.0
MRI - aorta,To,sec,Organs blood mean transit time,29.5,34.5,18.2,3.9,3.8,20.0
MRI - aorta,Toe,min,Organs extravascular mean transit time,6.43,7.36,66.4,5.3,2.8,130.0
MRI - liver,AUC35_Cl,mM*sec,AUC for Cl (0-35min),60.0,45.8,-19.9,26.0,16.0,26.0
MRI - liver,AUC_Cl,mM*sec,AUC for Cl (0-inf),257.0,189.0,22.9,320.0,78.0,81.0
MRI - liver,CL,L/min,Liver plasma clearance,0.0397,0.0277,-7.69,0.033,0.031,76.0
MRI - liver,Dg,%,Gut dispersion,81.3,76.1,-6.18,8.5,9.5,11.0
MRI - liver,Kbh,/min,Biliary tissue excretion rate,0.0255,0.0579,140.0,0.019,0.056,260.0
MRI - liver,Khe,/min,Hepatocellular tissue uptake rate,0.123,0.119,31.2,0.079,0.087,120.0
MRI - liver,RE_R1l,%,RE for R1l at 20min,22.5,14.5,-28.2,11.0,4.8,35.0
MRI - liver,RE_Sl,%,RE for Sl at 20min,19.4,11.1,-36.9,8.3,3.3,32.0
MRI - liver,T1_1,sec,Liver T1-MOLLI at baseline,0.983,0.916,-6.57,0.12,0.089,3.5
MRI - liver,T1_2,sec,Liver T1-MOLLI at 45min,0.793,0.793,0.33,0.14,0.13,10.0
MRI - liver,T1_3,sec,Liver T1-MOLLI at scan 2,0.807,0.827,3.25,0.16,0.11,8.1
MRI - liver,Tg,sec,Gut mean transit time,48.5,54.3,15.7,12.0,5.6,29.0
MRI - liver,Th,min,Hepatocellular mean transit time,49.7,103.0,81.6,27.0,180.0,290.0
MRI - liver,kbh,mL/min/100cm3,Biliary excretion rate,1.24,3.77,198.0,0.78,3.5,310.0
MRI - liver,kbh_f,mL/min/100cm3,Final biliary excretion rate,1.84,5.8,735.0,2.6,0.47,700.0
MRI - liver,kbh_i,mL/min/100cm3,Initial biliary excretion rate,3.1,3.71,77.0,3.0,3.5,260.0
MRI - liver,khe,mL/min/100cm3,Hepatocellular uptake rate,3.56,2.24,-13.5,2.6,1.9,71.0
MRI - liver,khe_f,mL/min/100cm3,Final hepatocellular uptake rate,4.1,3.15,20.4,3.5,3.2,100.0
MRI - liver,khe_i,mL/min/100cm3,Initial hepatocellular uptake rate,3.01,1.34,-39.3,2.6,0.63,45.0
MRI - liver,ve,mL/100cm3,Liver extracellular volume fraction,26.9,19.0,-30.1,6.0,6.0,8.6
