Biomarker,p-value,Bayes Factor,Odds Ratio
AUC for Cb (0-35min),0.19167,1.1,0.19
AUC for Cb (0-inf),0.40364,0.68,0.16
Body extraction fraction,0.88032,0.47,1.41
Cardiac output,0.11571,1.52,60.19
Heart-lung dispersion,0.26587,0.88,0.29
Heart-lung mean transit time,0.94794,0.47,0.92
Organs blood mean transit time,0.19056,1.1,0.07
Organs extraction fraction,0.14116,1.34,61.81
Organs extravascular mean transit time,0.83565,0.48,0.64
RE for R1b at 20min,0.22259,0.99,0.19
RE for Sb at 20min,0.38367,0.7,0.4
