Biomarker,p-value,Bayes Factor,Odds Ratio
AUC for Cl (0-35min),0.22215,1.0,3.9
AUC for Cl (0-inf),0.64061,0.53,1.82
Biliary excretion rate,0.24472,0.94,0.13
Biliary tissue excretion rate,0.2924,0.83,0.2
Final biliary excretion rate,0.10562,1.61,0.01
Final hepatocellular uptake rate,0.71655,0.5,1.81
Gut dispersion,0.3646,0.72,3.27
Gut mean transit time,0.40617,0.68,0.29
Hepatocellular mean transit time,0.60347,0.54,0.43
Hepatocellular tissue uptake rate,0.9425,0.47,1.11
Hepatocellular uptake rate,0.37905,0.71,3.25
Initial biliary excretion rate,0.7832,0.49,0.68
Initial hepatocellular uptake rate,0.24645,0.93,6.13
Liver T1-MOLLI at 45min,0.98716,0.47,1.01
Liver T1-MOLLI at baseline,0.07944,1.93,3.61
Liver T1-MOLLI at scan 2,0.54424,0.57,0.74
Liver extracellular volume fraction,0.01003,6.37,14.81
Liver plasma clearance,0.41662,0.67,2.16
RE for R1l at 20min,0.21596,1.01,7.28
RE for Sl at 20min,0.16283,1.22,14.35
