parameter,count,mean,std,min,25%,50%,75%,max,IQR,95%CI,95%CI/|mean|,range
CO,6.0,99.81193417973303,27.562783991770683,58.83736488844844,85.93174258715385,101.49853630301246,116.11229123258143,135.31081335961935,30.180548645427578,22.05482051232762,0.22096376243559346,76.47344847117091
Dg,6.0,0.8277339822956442,0.10798012521584241,0.6627495005861759,0.7630295742381674,0.8633929061726917,0.8864431152088244,0.9531669323614449,0.12341354097065693,0.08640209498594541,0.1043838924509504,0.290417431775269
Dhl,6.0,0.46711106003665764,0.11569136060294824,0.2952098675841537,0.42418765174100614,0.47069245650574076,0.5007786823722684,0.6465781051437717,0.07659103063126227,0.0925723683676802,0.19818063901209138,0.351368237559618
Eb,6.0,0.03375355852520825,0.015044040007477087,0.011229544973826893,0.029851186924881618,0.031638532546949795,0.0394577823240288,0.05669513711627565,0.009606595399147183,0.012037739084856065,0.35663614773730873,0.04546559214244875
Eo,6.0,0.19315342342653907,0.02652078594239443,0.1565489515286267,0.17441660505961562,0.19870464965834098,0.208626924625044,0.22670734990660685,0.03421031956542839,0.02122104842457153,0.10986628167448664,0.07015839837798016
H,6.0,0.45,0.0,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0,0.0
TS,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
Tg,6.0,37.853055827855314,6.728223766360385,29.70601484776821,33.22546201393044,36.92458376180235,43.04060642916504,46.49145051283325,9.815144415234599,5.383700266930924,0.14222630509447973,16.785435665065037
Thl,6.0,17.489770521818663,3.1770236007431043,12.238141712078129,16.09520890065835,18.042638232051686,19.983331784537363,20.53890952917065,3.8881228838790136,2.542148329382769,0.14535058228530864,8.30076781709252
To,6.0,33.72170669732452,7.500122849428562,23.429553600501855,28.671180419797267,34.23054618782972,38.70730961901559,43.4219716145885,10.036129199218323,6.001348169834409,0.17796691679044097,19.992418014086645
To_e,6.0,506.1447189684847,194.50500111006124,305.2307146741343,354.02159607042074,472.8247605188227,631.5414815608785,787.1204816032777,277.5198854904578,155.63641501211438,0.30749390278989586,481.8897669291434
a_CL,6.0,-1.8300809295973732,0.8236265369906726,-2.8633244594412828,-2.403876271991554,-1.8651884840431023,-1.1193484374814626,-0.9326101934547986,1.2845278345100914,0.6590384863859429,0.36011439479396934,1.9307142659864842
a_kbh,6.0,-0.00018386690446988395,6.162432275592549e-05,-0.00027302581151422017,-0.00020258867752816957,-0.00020076398622620464,-0.00013645587085292906,-0.0001104309024953457,6.613280667524052e-05,4.930972785555584e-05,0.2681816393098216,0.00016259490901887445
a_khe,6.0,-0.0020616781306347196,0.0009426797085574853,-0.0034010054573139557,-0.002747803437008382,-0.0018273499668818266,-0.0012651207987458186,-0.001182031056312992,0.0014826826382625632,0.0007543008637681894,0.36586742254280313,0.0022189744010009636
c_B1corr_a,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_B1corr_l,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_BAT,6.0,72.25755973623345,2.672001141135917,68.06580958146223,70.73593497165369,73.1372728373898,74.23586549700589,74.66745109453922,3.499930525352198,2.1380462000530094,0.029589238937180566,6.601641513076984
c_CL,6.0,2.336249751364149,1.0122818163186345,1.3580985751008534,1.4510655156138654,2.173648119335535,3.170885711400925,3.5986008046169413,1.7198201957870596,0.809994149120284,0.3467070028139431,2.240502229516088
c_R10_a,6.0,0.5431830526887561,0.0,0.5431830526887561,0.5431830526887561,0.5431830526887561,0.5431830526887561,0.5431830526887561,0.0,0.0,0.0,0.0
c_R10_l,6.0,1.371378766343825,0.11755269748795077,1.2539499423183027,1.2813886174270028,1.3410600096855392,1.4465113459835084,1.549042691616581,0.16512272855650556,0.09406174806618825,0.06858918219724394,0.2950927492982782
c_R20s_a,6.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
c_R20s_l,6.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
c_S0_a,6.0,20299.772218550672,4902.748656545892,15624.833020979282,17240.382160727888,19502.275927910043,20864.797140100887,29363.859985339666,3624.4149793729994,3923.0159649133684,0.19325418643507603,13739.026964360384
c_S0_l,6.0,10554.0003749116,1464.1422905586985,9003.101723339376,9555.886369529047,10224.409740209627,11239.039112159944,12961.78689693207,1683.1527426308967,1171.5578307482094,0.11100604407151372,3958.685173592694
c_T1_1,6.0,0.7335233333333333,0.060710198374463106,0.64556,0.6920275,0.745975,0.7805725,0.79748,0.08854499999999998,0.04857827601218925,0.06622594511266071,0.15191999999999994
c_T1_2,6.0,0.4306483333333333,0.07039342623190512,0.33114,0.38424749999999996,0.436855,0.4829525,0.51401,0.09870500000000004,0.05632647200137586,0.13079458955615572,0.18286999999999998
c_T1_3,6.0,0.6245283333333334,0.06825267245073022,0.51971,0.5865724999999999,0.633535,0.680505,0.69331,0.09393250000000009,0.0546135122212972,0.08744761335295255,0.17359999999999998
c_dose,6.0,0.024999999999999998,3.800588715305073e-18,0.025,0.025,0.025,0.025,0.025,0.0,3.0411043377279095e-18,1.216441735091164e-16,0.0
c_kbh,6.0,0.00022947407364577125,6.077673324220697e-05,0.00015664667788609492,0.00020104343909934868,0.00020680374198139037,0.0002696429182638165,0.00031687763152912524,6.859947916446781e-05,4.86315149943741e-05,0.21192596715498402,0.00016023095364303032
c_khe,6.0,0.0026079042310538816,0.0010495050243297859,0.0015568764522368753,0.0017463546694299146,0.0024038244237025385,0.0034680304298231276,0.003932936236812305,0.001721675760393213,0.0008397789187511054,0.32201294386172374,0.0023760597845754296
c_tmax,6.0,2473.4333333333334,21.200628921488786,2460.1,2464.1,2464.6,2469.6,2516.1,5.5,16.9640362073548,0.006858497449168416,56.0
c_vol,6.0,893.6208199833333,136.27542442599608,706.9215997,815.790272575,887.0469932999999,972.608462525,1087.542349,156.81818995000003,109.04304974613451,0.12202384647681805,380.62074930000006
d_B1corr_a,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
d_B1corr_l,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
d_BAT,6.0,74.57893849090435,4.096623769886229,70.25535104881975,70.85548164830851,74.61759567075313,77.65251663009707,79.71748796439475,6.797034981788556,3.2779817154301703,0.043953182785377846,9.462136915575002
d_CL,6.0,0.5061688217667758,0.25855832955581454,0.2394141270871927,0.3251349671219437,0.4279188153638952,0.6714083271705313,0.8983159906383018,0.34627336004858766,0.20688975221165268,0.40873665724709524,0.6589018635511091
d_R10_a,6.0,0.5431830526887561,0.0,0.5431830526887561,0.5431830526887561,0.5431830526887561,0.5431830526887561,0.5431830526887561,0.0,0.0,0.0,0.0
d_R10_l,6.0,1.331612419331868,0.06614146305088678,1.2662555556962505,1.274099436677938,1.3224830013348852,1.3791406277440195,1.4224548726191661,0.10504119106608156,0.052924192869834456,0.03974444222770841,0.15619931692291567
d_R20s_a,6.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
d_R20s_l,6.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
d_S0_a,6.0,17608.49261149688,5330.269733188618,11527.349706019108,13276.795358210817,17859.59693252996,22408.930258327782,22729.842564204082,9132.134900116966,4265.104072319629,0.2422185797741069,11202.492858184974
d_S0_l,6.0,9467.862483395993,1722.5399336391629,7062.740391140918,8346.06346016679,9748.747708139748,10377.384230921887,11781.507310263814,2031.3207707550973,1378.3190070012918,0.145578688898205,4718.766919122896
d_T1_1,6.0,0.7525,0.03699509967549758,0.70301,0.72516,0.7566299999999999,0.784905,0.78973,0.05974499999999994,0.02960224494820172,0.03933853149262687,0.08672000000000002
d_T1_2,6.0,0.6118283333333333,0.06584477638102106,0.53874,0.5740825,0.5885849999999999,0.65441,0.70946,0.0803275,0.0526867940913133,0.08611368781218039,0.17071999999999998
d_T1_3,6.0,0.622945,0.07376793117608761,0.53179,0.5774174999999999,0.607445,0.67618,0.72449,0.09876250000000009,0.0590266383156396,0.09475417302593263,0.19269999999999998
d_dose,6.0,0.024999999999999998,3.800588715305073e-18,0.025,0.025,0.025,0.025,0.025,0.0,3.0411043377279095e-18,1.216441735091164e-16,0.0
d_kbh,6.0,4.560716917588732e-05,4.751658255927978e-05,7.260917137418514e-09,1.0345701937797755e-05,2.8997982222433647e-05,8.045251535010352e-05,0.00011390748812440664,7.010681341230576e-05,3.802118465308152e-05,0.8336668409839272,0.00011390022720726922
d_khe,6.0,0.0005462261004191616,0.00021091435640716954,0.00026346479574596043,0.00041411674181749964,0.0005544010697858526,0.0006507167275129244,0.0008549124212806405,0.0002365999856954248,0.00016876663385752527,0.30896845414017665,0.00059144762553468
