Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,cohen
parameter,CO,Dg,True,True,4.166367278927267,5.0,two-sided,0.008769826799899086,7.618,2.405452482855682
parameter,CO,Dhl,True,True,4.181297211264924,5.0,two-sided,0.008644113962707523,7.701,2.41310071984893
parameter,CO,Eb,True,True,4.193827122187408,5.0,two-sided,0.00854021433784374,7.772,2.421539384621809
parameter,CO,Eo,True,True,4.186239250134187,5.0,two-sided,0.008602960507044918,7.729,2.4178216545486793
parameter,CO,H,True,True,4.1796516438619635,5.0,two-sided,0.008657867401480916,7.692,2.413123001702567
parameter,CO,TS,True,True,4.125058391893057,5.0,two-sided,0.009128805624050985,7.39,2.3816035729823812
parameter,CO,Tg,True,True,2.8512546406215007,5.0,two-sided,0.03577107827559823,2.669,1.7037647473162796
parameter,CO,Thl,True,True,3.488775280388363,5.0,two-sided,0.017493387414524133,4.536,2.013659097170492
parameter,CO,To,True,True,3.093468365750267,5.0,two-sided,0.02705278045036472,3.28,1.713711867267657
parameter,CO,To_e,True,True,-8.81712433240228,5.0,two-sided,0.0003116042610681862,98.864,-4.556830890205817
parameter,CO,a_CL,True,True,4.296245810517282,5.0,two-sided,0.007742993728145518,8.369,2.418212752342275
parameter,CO,a_kbh,True,True,4.19550908253605,5.0,two-sided,0.008526377438350694,7.781,2.422274915033926
parameter,CO,a_khe,True,True,4.195582101689167,5.0,two-sided,0.008525777322224067,7.782,2.422270664551171
parameter,CO,c_B1corr_a,True,True,4.160279844776223,5.0,two-sided,0.008821689190932704,7.584,2.401938688285727
parameter,CO,c_B1corr_l,True,True,4.160279844776223,5.0,two-sided,0.008821689190932704,7.584,2.401938688285727
parameter,CO,c_BAT,True,True,1.7101261065962612,5.0,two-sided,0.14793301928926933,0.968,0.9832084998948679
parameter,CO,c_CL,True,True,4.053101241327646,5.0,two-sided,0.009795408914108435,7.008,2.3597414181547243
parameter,CO,c_R10_a,True,True,4.176369601362177,5.0,two-sided,0.008685373837551616,7.673,2.4112281135818234
