parameter,count,mean,std,min,25%,50%,75%,max,IQR,95%CI,95%CI/|mean|,range
CO,8.0,91.56507875483396,31.699591791535436,42.86344995709265,77.2657462475261,88.02395160929305,105.87346021226642,144.9156978123109,28.607713964740327,21.96669639030732,0.23990255552690867,102.05224785521824
Dg,8.0,0.7718037578463268,0.11873721148651356,0.5838884024816705,0.6912160763079063,0.7868202284656165,0.8545319219588932,0.9433857661284843,0.1633158456509869,0.08228068967286906,0.10660830403633756,0.35949736364681384
Dhl,8.0,0.4188463173630128,0.08669333851946612,0.31611516393064176,0.33881342905693834,0.42506092800644724,0.47399424247882765,0.5615781816682649,0.1351808134218893,0.060075418599799105,0.1434306954828301,0.24546301773762313
Eb,8.0,0.044291678015861397,0.024958786314831217,0.012099991447147752,0.027741829016968,0.04152595318159025,0.05548901726193912,0.09250367000952323,0.02774718824497112,0.01729555651233509,0.39049223888382234,0.08040367856237547
Eo,8.0,0.19444170939932548,0.06646027431841373,0.12524912934257165,0.14334787185436304,0.18033208309256898,0.22130612472904077,0.31998540613972903,0.07795825287467772,0.04605462043706712,0.23685566527542,0.19473627679715738
H,8.0,0.45,0.0,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0,0.0
TS,8.0,1.9746874999818829,0.22514851249491716,1.6374999999752617,1.8756249999823922,2.0174999999799184,2.177499999983411,2.177499999983411,0.30187500000101863,0.15601995916003564,0.07900994925094075,0.5400000000081491
Tg,8.0,62.909768858432834,31.765380508830262,27.051047825755376,45.142181238068,52.17173728627397,83.39284856540482,120.72776641626858,38.25066732733682,22.01228564546956,0.3499025039339163,93.6767185905132
Thl,8.0,16.241556322200108,2.5518552035491315,13.449548346220093,13.832707725962793,16.326513330462795,18.30853308920029,19.41154917525587,4.475825363237496,1.768345436655053,0.10887783175298008,5.962000829035778
To,8.0,33.89989980257313,11.42015489737446,18.972317536526262,26.021544943171897,30.336871758199567,44.27599793192208,49.10464462056928,18.25445298875018,7.913763590731555,0.2334450436968805,30.13232708404302
To_e,8.0,529.1957889532652,208.19768158526287,256.9921961025266,371.93635409865544,522.7638343914417,661.1104453639083,799.8365282602692,289.17409126525286,144.27363262673182,0.272628081398949,542.8443321577427
a_CL,8.0,-1.6322281385698831,0.4408021465829497,-2.2481438848807493,-1.9733543619544411,-1.5635965542156378,-1.3324567842253814,-0.9624616039642037,0.6408975777290598,0.3054603032701824,0.18714314258656206,1.2856822809165456
a_kbh,8.0,-0.00026298818962831053,0.00010716162717295249,-0.0004446598740997543,-0.00028769884688491476,-0.00028256926774729556,-0.00024171971428400504,-5.771007955949178e-05,4.597913260090972e-05,7.425921899183971e-05,0.28236712491459254,0.0003869497945402625
a_khe,8.0,-0.0018422349687323596,0.000621110516880436,-0.002778094076819171,-0.002187750000929629,-0.0018030751862749557,-0.0014052677486974,-0.001102142401965337,0.0007824822522322287,0.0004304076291853891,0.23363340534218188,0.0016759516748538338
c_B1corr_a,8.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_B1corr_l,8.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_BAT,8.0,71.47279625976597,4.519029481144815,66.26726840140215,69.23894505575583,70.72170148347708,72.48585930720157,81.29609682127756,3.2469142514457303,3.131527662689436,0.043814259782253125,15.02882841987541
c_CL,8.0,1.7588070662412312,0.44847963960771137,1.1049412076372007,1.4701389781754708,1.6686858858639215,2.057781299158398,2.46565888686232,0.5876423209829271,0.3107805345028974,0.17669961672775764,1.3607176792251192
c_R10_a,8.0,0.5755513049055953,0.027924186072554105,0.544478445580682,0.5583429873144884,0.5641817285476977,0.5910511668650531,0.6288240282615654,0.03270817955056471,0.019350473704397592,0.03362076245760845,0.08434558268088332
c_R10_l,8.0,1.263516226859682,0.08843120208655984,1.1690164128419713,1.1882542746353204,1.2432628798469416,1.3278710289429438,1.4146271976926685,0.13961675430762344,0.06127969661060674,0.048499334878278594,0.2456107848506972
c_R20s_a,8.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
c_R20s_l,8.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
c_S0_a,8.0,5735.346621984461,1861.6058311904096,3863.9929556006646,4393.63774409376,4872.514568645216,7371.463495058211,8841.524399889156,2977.825750964451,1290.0270249885345,0.22492572986672915,4977.531444288492
c_S0_l,8.0,5104.682171597268,1112.169409628729,3516.607226562257,4463.978620562699,5158.056079644764,5600.942572251215,6970.761037630007,1136.9639516885163,770.6940807491791,0.15097787772907062,3454.15381106775
c_T1_1,8.0,0.7947449950000001,0.054007200897157985,0.706900024,0.75312248225,0.804339996,0.8415825045,0.855419983,0.08846002225000005,0.03742508082753891,0.04709067822130658,0.14851995900000003
