parameter,count,mean,std,min,25%,50%,75%,max,IQR,95%CI,95%CI/|mean|,range
CO,3.0,113.01280823784212,3.2164440441941067,109.36857286536635,111.791437574964,114.21430228456164,114.83492592408001,115.45554956359837,3.043488349116018,3.639749076107719,0.03220651829523298,6.0869766982320215
Dg,3.0,0.8222297990201849,0.07228662601700474,0.7796572374424732,0.7804979184958633,0.7813385995492533,0.8435160798090409,0.9056935600688283,0.06301816131317761,0.08180001785986589,0.09948559144577754,0.1260363226263551
Dhl,3.0,0.4078647675155526,0.08991896479411636,0.30466129339675735,0.3771343344258772,0.449607375454997,0.4594665045749502,0.4693256336949034,0.08233217014907301,0.1017528875171057,0.249477021849468,0.16466434029814603
Eb,3.0,0.025931342896167258,0.013775799333421924,0.01606767213345793,0.018061638417774233,0.020055604702090536,0.030863178277521924,0.04167075185295331,0.01280153985974769,0.015588784448768694,0.6011560801609226,0.02560307971949538
Eo,3.0,0.22117205839464163,0.020023117562899068,0.19863993274744166,0.21329443780541002,0.2279489428633784,0.2324381212182416,0.2369272995731048,0.01914368341283157,0.02265829053731239,0.10244644238415848,0.03828736682566314
H,3.0,0.45,0.0,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0,0.0
TS,3.0,1.7825499999986885,0.02255130151615854,1.7695299999977578,1.7695299999977578,1.7695299999977578,1.7890599999991537,1.8085900000005495,0.01953000000139582,0.025519200001823877,0.014316120165965977,0.03906000000279164
Tg,3.0,58.90916786504787,15.01136534032991,44.13575192008685,51.28991508462251,58.44407824915816,66.29587583752838,74.14767342589862,15.005960752905878,16.986959007480852,0.2883584953431263,30.01192150581177
Thl,3.0,19.01129296876346,3.758123174123412,16.175939702487845,16.879950813583864,17.583961924679883,20.428969601901265,23.273977279122644,3.549018788317401,4.252716715406729,0.2236942391237757,7.098037576634798
To,3.0,28.60521591401246,2.7391350963987424,25.445353055416135,27.755435668371852,30.065518281327567,30.18514734331062,30.304776405293676,2.429711674938769,3.0996231550950286,0.10835867012549473,4.859423349877542
