Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,cohen
parameter,CO,Dg,True,True,7.671043402180138,5.0,two-sided,0.0005998442859990802,59.412,4.423560298246769
parameter,CO,Dhl,True,True,7.666538972972031,5.0,two-sided,0.0006014895678338462,59.286,4.430458685735029
parameter,CO,Eb,True,True,7.700150692620993,5.0,two-sided,0.000589340324427255,60.231,4.446731785257952
parameter,CO,Eo,True,True,7.688692923249546,5.0,two-sided,0.0005934488550045304,59.908,4.442614176367843
parameter,CO,FA,True,True,6.837749143814424,5.0,two-sided,0.0010210152912543287,39.367,3.9477763088323914
parameter,CO,H,True,True,7.678292663487821,5.0,two-sided,0.0005972076218080218,59.615,4.433064336181423
parameter,CO,TR,True,True,7.704155985395572,5.0,two-sided,0.0005879120683923292,60.345,4.447996532047001
parameter,CO,TS,True,True,7.588750226684127,5.0,two-sided,0.000630764651083811,57.141,4.381366986188914
parameter,CO,Tg,True,True,5.6802647253150464,5.0,two-sided,0.0023554601462735664,20.699,3.508108042254551
parameter,CO,Thl,True,True,6.206576755390091,5.0,two-sided,0.0015858018329548015,28.042,3.860729216007042
parameter,CO,To,True,True,5.19073504372849,5.0,two-sided,0.0034938962495835502,15.314,3.4171893682318744
parameter,CO,To_e,True,True,-4.526184388994421,5.0,two-sided,0.00624731572936505,9.845,-2.8434767038115636
parameter,CO,a_CL,True,True,7.822931875411143,5.0,two-sided,0.0005473650409575997,63.785,4.508839882663432
parameter,CO,a_kbh,True,True,7.70429518157457,5.0,two-sided,0.0005878625059799525,60.349,4.448077437878234
parameter,CO,a_khe,True,True,7.704386920240053,5.0,two-sided,0.0005878298440741839,60.351,4.448141437972685
parameter,CO,c_B1corr_1_a,True,True,7.646519540751027,5.0,two-sided,0.0006088668944595324,58.728,4.414720115216339
parameter,CO,c_B1corr_1_l,True,True,7.646519540751027,5.0,two-sided,0.0006088668944595324,58.728,4.414720115216339
parameter,CO,c_B1corr_2_a,True,True,7.646519540751027,5.0,two-sided,0.0006088668944595324,58.728,4.414720115216339
parameter,CO,c_B1corr_2_l,True,True,7.646519540751027,5.0,two-sided,0.0006088668944595324,58.728,4.414720115216339
parameter,CO,c_BAT_1,True,True,3.463061426841632,5.0,two-sided,0.017982990127840253,4.443,1.981522936837707
parameter,CO,c_BAT_2,True,True,-12.802242976387198,5.0,two-sided,5.174804636924874e-05,404.024,-7.303728992824453
parameter,CO,c_CL,True,True,7.5627223363484,5.0,two-sided,0.000640935054937666,56.437,4.364678613839875
parameter,CO,c_R10_a,True,True,7.672909542451331,5.0,two-sided,0.0005991642258927906,59.464,4.429956389801925
parameter,CO,c_R10_l,True,True,7.6335087023433985,5.0,two-sided,0.0006137190382509474,58.367,4.402316552923167
parameter,CO,c_R20s_a,True,True,6.548902573479924,5.0,two-sided,0.0012435327979100155,33.814,3.781010663695267
parameter,CO,c_R20s_l,True,True,6.548902573479924,5.0,two-sided,0.0012435327979100155,33.814,3.781010663695267
parameter,CO,c_S0_1_a,True,True,-10.131318259582146,5.0,two-sided,0.00016057464588739665,165.961,-5.83706594591043
parameter,CO,c_S0_1_l,True,True,-16.94369066458673,5.0,two-sided,1.3097573043857388e-05,1196.954,-9.79118819338233
parameter,CO,c_S0_2_a,True,True,-12.746967441075288,5.0,two-sided,5.28506400004912e-05,397.367,-7.3456224176561715
parameter,CO,c_S0_2_l,True,True,-12.204580635955178,5.0,two-sided,6.530507841066006e-05,336.366,-7.029358423213224
parameter,CO,c_T1_1,True,True,7.657264065832225,5.0,two-sided,0.0006048941924296608,59.027,4.423603411539598
parameter,CO,c_T1_2,True,True,7.668647581522221,5.0,two-sided,0.000600718714961682,59.345,4.433703664780959
parameter,CO,c_T1_3,True,True,7.6676591925985855,5.0,two-sided,0.0006010798984933192,59.317,4.427237534479143
parameter,CO,c_dkhe,True,True,7.645521963497667,5.0,two-sided,0.0006092373078500539,58.7,4.443570538654896
parameter,CO,c_dose_1,True,True,7.7028446219662525,5.0,two-sided,0.000588379237877657,60.308,4.4472394160180775
parameter,CO,c_dose_2,True,True,7.7028446219662525,5.0,two-sided,0.000588379237877657,60.308,4.4472394160180775
parameter,CO,c_kbh,True,True,7.704274926996221,5.0,two-sided,0.0005878697175491947,60.348,4.448064384191813
parameter,CO,c_khe,True,True,7.704178492402588,5.0,two-sided,0.0005879040541758454,60.345,4.447985261732956
parameter,CO,c_khe_f,True,True,7.704102954854106,5.0,two-sided,0.0005879309518346831,60.343,4.447981893519032
parameter,CO,c_khe_i,True,True,7.704254029671381,5.0,two-sided,0.0005878771580759618,60.348,4.447988628632117
parameter,CO,c_t_scan2,True,True,-11.525770280762126,5.0,two-sided,8.620839763447538e-05,270.362,-6.578808449581949
parameter,CO,c_tmax,True,True,-15.753093959435938,5.0,two-sided,1.8745819401386896e-05,901.046,-8.98778149021963
parameter,CO,c_vol,True,True,-11.70099853049279,5.0,two-sided,8.012903857976108e-05,286.361,-7.533427002406795
parameter,CO,d_B1corr_1_a,True,True,7.646519540751027,5.0,two-sided,0.0006088668944595324,58.728,4.414720115216339
parameter,CO,d_B1corr_1_l,True,True,7.646519540751027,5.0,two-sided,0.0006088668944595324,58.728,4.414720115216339
parameter,CO,d_B1corr_2_a,True,True,7.646519540751027,5.0,two-sided,0.0006088668944595324,58.728,4.414720115216339
parameter,CO,d_B1corr_2_l,True,True,7.646519540751027,5.0,two-sided,0.0006088668944595324,58.728,4.414720115216339
parameter,CO,d_BAT_1,True,True,3.2909024805662948,5.0,two-sided,0.02169191658541227,3.864,1.9027933006013857
parameter,CO,d_BAT_2,True,True,-28.710819706275238,5.0,two-sided,9.603897390557825e-07,9557.882,-15.880770488465496
parameter,CO,d_CL,True,True,7.6878876585941995,5.0,two-sided,0.0005937388824450878,59.885,4.429307516041831
parameter,CO,d_R10_a,True,True,7.672909542451331,5.0,two-sided,0.0005991642258927906,59.464,4.429956389801925
parameter,CO,d_R10_l,True,True,7.632558921016426,5.0,two-sided,0.0006140750332762262,58.341,4.403654445764672
