parameter,,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power
CO,T-test,7.704288854817927,5,two-sided,0.0005878647585874673,[ 88.87 177.86],3.1452627542192113,60.349,0.9999590805651312
Dg,T-test,16.586241768940752,5,two-sided,1.4547781604907825e-05,[0.62 0.85],6.771304847390382,1101.387,
Dhl,T-test,9.482688417633582,5,two-sided,0.00022041624227650886,[0.38 0.67],3.8712913355003846,129.536,
Eb,T-test,4.8170386217368275,5,two-sided,0.0048109445218611,[0.02 0.06],1.9665477824224622,12.003,0.9661547956618634
Eo,T-test,9.61500276263208,5,two-sided,0.00020629898023355957,[0.12 0.21],3.9253084406498666,136.414,0.9999999416676438
FA,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
H,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
TR,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
TS,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
Tg,T-test,8.741731635716834,5,two-sided,0.00032454521135366973,[18.76 34.39],3.5687969959752666,95.778,
Thl,T-test,6.212262849989047,5,two-sided,0.0015792717647229752,[ 9.55 23.03],2.5361456884201936,28.131,0.9978686915789935
To,T-test,7.859104079552253,5,two-sided,0.0005356819206432762,[19.29 38.03],3.208465805054779,64.862,0.9999743961565359
To_e,T-test,8.108507203424068,5,two-sided,0.0004627099849369948,[258.6  498.68],3.310284204011795,72.676,0.999988244727494
a_CL,T-test,-4.115265063578614,5,two-sided,0.009216379897938082,[-3.04 -0.7 ],1.6800499270116298,7.337,0.9030965891742195
a_kbh,T-test,-4.531233356220188,5,two-sided,0.006218449750879608,[-0. -0.],1.849868271369724,9.879,0.9466247275456374
a_khe,T-test,-5.183606035184828,5,two-sided,0.003514724690763778,[-0. -0.],2.1161983023023687,15.244,0.9821408925930472
c_B1corr_1_a,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
c_B1corr_1_l,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
c_B1corr_2_a,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
c_B1corr_2_l,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
c_BAT_1,T-test,45.318298025443276,5,two-sided,9.878087822040604e-08,[69.51 77.87],18.501117695619076,5.87e+04,1.0
c_BAT_2,T-test,12.834375834732839,5,two-sided,5.1119717319414455e-05,[ 7584.46 11383.54],5.239611993700397,407.933,0.9999999999999777
c_CL,T-test,4.1628708362902,5,two-sided,0.008799571855772481,[0.93 3.92],1.6994849023373457,7.598,0.9091288867921138
c_R10_a,T-test,inf,5,two-sided,0.0,[nan nan],inf,nan,
c_R10_l,T-test,28.575934822543445,5,two-sided,9.831507957521382e-07,[1.25 1.49],11.666076539710135,9381.086,
