Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,cohen
parameter,CO,Dg,True,True,11.174659202136853,7.0,two-sided,1.0242369227147076e-05,1844.997,5.590321887918965
parameter,CO,Dhl,True,True,11.212565127770814,7.0,two-sided,1.001360174367615e-05,1880.433,5.6064302452350905
parameter,CO,Eb,True,True,11.25512182059925,7.0,two-sided,9.763653082182732e-06,1920.901,5.629771898720707
parameter,CO,Eo,True,True,11.230351370754772,7.0,two-sided,9.908263919058952e-06,1897.258,5.6226762213398525
parameter,CO,FA,True,True,9.505003567801756,7.0,two-sided,2.986779114900344e-05,750.905,4.787889255100089
parameter,CO,H,True,True,11.214025847635112,7.0,two-sided,1.000490294712154e-05,1881.81,5.607012923817555
parameter,CO,TR,True,True,11.265185963651575,7.0,two-sided,9.705584326544695e-06,1930.577,5.632592981825786
parameter,CO,TS,True,True,11.101119188685265,7.0,two-sided,1.0703331387992198e-05,1777.853,5.51939243667809
parameter,CO,Tg,True,True,5.197788402093137,7.0,two-sided,0.0012560592308023537,34.259,2.810884433394251
parameter,CO,Thl,True,True,9.360549225492495,7.0,two-sided,3.3016920983523986e-05,690.454,4.628162295821866
parameter,CO,To,True,True,6.320644867792794,7.0,two-sided,0.00039622279630474377,87.846,3.493621654926712
parameter,CO,To_e,True,True,-5.755783132490152,7.0,two-sided,0.0006942783641709368,55.497,-2.9676633511238193
parameter,CO,a_CL,True,True,11.246224131403078,7.0,two-sided,9.81532042222657e-06,1912.38,5.733544020326416
parameter,CO,a_kbh,True,True,11.2656001258165,7.0,two-sided,9.703203084435048e-06,1930.976,5.632819232386105
parameter,CO,a_khe,True,True,11.265671577876951,7.0,two-sided,9.702792335053257e-06,1931.045,5.632922610143993
parameter,CO,c_B1corr_1_a,True,True,11.150977014344976,7.0,two-sided,1.0388305893582289e-05,1823.145,5.575488507172488
parameter,CO,c_B1corr_1_l,True,True,11.150977014344976,7.0,two-sided,1.0388305893582289e-05,1823.145,5.575488507172488
parameter,CO,c_B1corr_2_a,True,True,11.150977014344976,7.0,two-sided,1.0388305893582289e-05,1823.145,5.575488507172488
parameter,CO,c_B1corr_2_l,True,True,11.150977014344976,7.0,two-sided,1.0388305893582289e-05,1823.145,5.575488507172488
parameter,CO,c_BAT_1,True,True,2.938542611817765,7.0,two-sided,0.02175829404874601,3.568,1.51320318210102
parameter,CO,c_BAT_2,True,True,-8.28175026510732,7.0,two-sided,7.302734076899042e-05,355.865,-4.1551530833107915
parameter,CO,c_CL,True,True,11.26738997675153,7.0,two-sided,9.692919892696941e-06,1932.702,5.518570259215845
parameter,CO,c_R10_a,True,True,11.202097081761039,7.0,two-sided,1.0076192447482981e-05,1870.59,5.59981309818919
parameter,CO,c_R10_l,True,True,11.132854369512412,7.0,two-sided,1.0501579023340352e-05,1806.571,5.560348803150745
parameter,CO,c_R20s_a,True,True,8.972926409776724,7.0,two-sided,4.3500948917515474e-05,548.243,4.486463204888362
parameter,CO,c_R20s_l,True,True,8.972926409776724,7.0,two-sided,4.3500948917515474e-05,548.243,4.486463204888362
parameter,CO,c_S0_1_a,True,True,-8.175467505489081,7.0,two-sided,7.93368779158983e-05,332.142,-4.072962957944839
parameter,CO,c_S0_1_l,True,True,-11.742477054662551,7.0,two-sided,7.353855395388285e-06,2439.286,-5.860434779471701
parameter,CO,c_S0_2_a,True,True,-9.478358039261467,7.0,two-sided,3.0422126373064687e-05,739.429,-4.724948160444042
parameter,CO,c_S0_2_l,True,True,-12.23012007295001,7.0,two-sided,5.596732399131784e-06,3071.364,-6.105871952416984
parameter,CO,c_T1_1,True,True,11.167902573806956,7.0,two-sided,1.0283766791153049e-05,1838.74,5.587239748458285
parameter,CO,c_T1_2,True,True,11.203102735472363,7.0,two-sided,1.0070160171376547e-05,1871.534,5.602025922765374
parameter,CO,c_T1_3,True,True,11.179408827153864,7.0,two-sided,1.021338177675515e-05,1849.406,5.5944419585748735
parameter,CO,c_dkhe,True,True,11.23009819976274,7.0,two-sided,9.90975444904763e-06,1897.018,5.616863872703897
parameter,CO,c_dose_1,True,True,11.262885744101865,7.0,two-sided,9.718821619508617e-06,1928.362,5.631551661455829
parameter,CO,c_dose_2,True,True,11.2620631061699,7.0,two-sided,9.723560710455332e-06,1927.57,5.6316409742502245
parameter,CO,c_kbh,True,True,11.26560372294974,7.0,two-sided,9.703182405479369e-06,1930.98,5.632785362769633
parameter,CO,c_khe,True,True,11.26553917896115,7.0,two-sided,9.703553459194665e-06,1930.918,5.632680637073675
parameter,CO,c_khe_f,True,True,11.265561671946628,7.0,two-sided,9.70342414856306e-06,1930.939,5.632665159811646
parameter,CO,c_khe_i,True,True,11.26551667837261,7.0,two-sided,9.703682815494237e-06,1930.896,5.632696110300937
parameter,CO,c_t_scan2,True,True,-7.240216268833638,7.0,two-sided,0.00017137374986778706,175.292,-3.6337230908986946
parameter,CO,c_tmax,True,True,-10.467833311466702,7.0,two-sided,1.5814494002012153e-05,1280.197,-5.25070183903194
parameter,CO,c_vol,True,True,-13.915132694239388,7.0,two-sided,2.3407946266062967e-06,6419.395,-6.515607196815266
parameter,CO,d_B1corr_1_a,True,True,11.150977014344976,7.0,two-sided,1.0388305893582289e-05,1823.145,5.575488507172488
parameter,CO,d_B1corr_1_l,True,True,11.150977014344976,7.0,two-sided,1.0388305893582289e-05,1823.145,5.575488507172488
parameter,CO,d_B1corr_2_a,True,True,11.150977014344976,7.0,two-sided,1.0388305893582289e-05,1823.145,5.575488507172488
parameter,CO,d_B1corr_2_l,True,True,11.150977014344976,7.0,two-sided,1.0388305893582289e-05,1823.145,5.575488507172488
parameter,CO,d_BAT_1,True,True,2.9983945797351303,7.0,two-sided,0.01998746859286047,3.81,1.5453555986247471
parameter,CO,d_BAT_2,True,True,-23.497803843350457,7.0,two-sided,6.420374195183587e-08,1.368e+05,-11.939770888655913
parameter,CO,d_CL,True,True,11.255179404846709,7.0,two-sided,9.763319708139233e-06,1920.956,5.625356859737158
parameter,CO,d_R10_a,True,True,11.197807188167685,7.0,two-sided,1.0101970927535859e-05,1866.569,5.599630662223988
parameter,CO,d_R10_l,True,True,11.14120953263753,7.0,two-sided,1.0449182832192112e-05,1814.196,5.561169868882477
