parameter,,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power
CO,T-test,11.265611256690674,7,two-sided,9.703139096182477e-06,[ 77.65 118.9 ],3.982995056908739,1930.987,
Dg,T-test,29.62917914652326,7,two-sided,1.2853049530828744e-08,[0.68 0.8 ],10.47549674774882,5.404e+05,1.0
Dhl,T-test,10.118126603781045,7,two-sided,1.9799379240418018e-05,[0.35 0.57],3.577297967218794,1059.989,
Eb,T-test,8.354048725268827,7,two-sided,6.905955008705198e-05,[0.04 0.07],2.9536022520002105,372.815,0.9999997193204545
Eo,T-test,10.33940427039154,7,two-sided,1.7161496718462386e-05,[0.14 0.22],3.655531436511503,1195.22,
FA,T-test,46.999983085716416,7,two-sided,5.161980485745939e-10,[13.95 15.43],16.617003377781558,8.457e+06,
H,T-test,inf,7,two-sided,0.0,[nan nan],inf,nan,
TR,T-test,inf,7,two-sided,0.0,[nan nan],inf,nan,
TS,T-test,24.807002391242047,7,two-sided,4.4103297068019293e-08,[1.79 2.16],8.770599805879074,1.885e+05,1.0
Tg,T-test,10.996254325458152,7,two-sided,1.1401981097015227e-05,[34.75 53.78],3.8877630005916823,1685.686,
Thl,T-test,14.089767889486335,7,two-sided,2.1508522062070878e-06,[13.96 19.59],4.981485210000129,6896.476,1.0
To,T-test,8.164316214626018,7,two-sided,8.00338570635841e-05,[22.44 40.74],2.886521679556671,329.733,0.9999993886509789
To_e,T-test,7.981646436581491,7,two-sided,9.24955677051183e-05,[282.01 519.45],2.8219381601701077,292.339,0.9999987323003788
a_CL,T-test,-6.452627542530444,7,two-sided,0.0003493984688612656,[-2.47 -1.15],2.2813483458971824,97.408,0.9997394732384985
a_kbh,T-test,-6.543970063009828,7,two-sided,0.00032063194619275293,[-0. -0.],2.3136428037180043,104.54,0.9998028972790232
a_khe,T-test,-5.92879990681539,7,two-sided,0.0005823357889831589,[-0. -0.],2.0961473092036664,64.072,0.9988280616541463
c_B1corr_1_a,T-test,inf,7,two-sided,0.0,[nan nan],inf,nan,
c_B1corr_1_l,T-test,inf,7,two-sided,0.0,[nan nan],inf,nan,
c_B1corr_2_a,T-test,inf,7,two-sided,0.0,[nan nan],inf,nan,
c_B1corr_2_l,T-test,inf,7,two-sided,0.0,[nan nan],inf,nan,
c_BAT_1,T-test,38.02117644713654,7,two-sided,2.2650055569802493e-09,[66.84 75.7 ],13.442515847230244,2.385e+06,1.0
c_BAT_2,T-test,8.39697870842283,7,two-sided,6.681909851197005e-05,[ 6859.19 12236.66],2.9687802931024203,383.201,0.999999765345438
