parameter,count,mean,std,min,25%,50%,75%,max,IQR,95%CI,95%CI/|mean|,range
CO,3.0,126.8984707347045,12.202439429557147,114.6052259625486,120.84369061842872,127.08215527430886,133.04509312078244,139.00803096725605,12.201402502353716,13.808360111272847,0.10881423575340615,24.402805004707446
Dg,3.0,0.8527580933279421,0.1501119779749155,0.6998893879150928,0.7791609257699854,0.8584324636248779,0.9291924460343666,0.9999524284438553,0.15003152026438116,0.1698676941491131,0.1991979853116301,0.30006304052876254
Dhl,3.0,0.430421232489691,0.0504831708375097,0.3980521643112013,0.4013365078307764,0.40462085135035153,0.4466057665789358,0.48859068180752,0.0452692587481594,0.057127085654260897,0.1327236700750564,0.09053851749631875
Eb,3.0,0.039820383243842024,0.013879539380523732,0.031047061041810924,0.03181944504108147,0.03259182904035202,0.04420704434485758,0.05582225964936314,0.012387599303776108,0.015706177363243843,0.3944255701173521,0.024775198607552215
Eo,3.0,0.20864191041462588,0.04424666140026945,0.16182663662882404,0.18807786270561674,0.21432908878240944,0.2320495473075268,0.2497700058326442,0.04397168460191006,0.05006981086556807,0.23997964151145998,0.08794336920382015
FA,3.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0
H,3.0,0.45,0.0,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0,0.0
TR,3.0,0.00371,0.0,0.00371,0.00371,0.00371,0.00371,0.00371,0.0,0.0,0.0,0.0
TS,3.0,1.7825499999986885,0.02255130151615854,1.7695299999977578,1.7695299999977578,1.7695299999977578,1.7890599999991537,1.8085900000005495,0.01953000000139582,0.025519200001823877,0.014316120165965977,0.03906000000279164
Tg,3.0,98.26806041532383,71.45360573084591,47.44844705128733,57.41780690289849,67.38716675450965,123.67786709734209,179.96856744017452,66.2600601944436,80.85736666641561,0.8228244897139212,132.5201203888872
Thl,3.0,15.18784457780397,4.848719003990588,11.162675391693135,12.496427230497584,13.830179069302034,17.200429170859387,20.570679272416744,4.7040019403618025,5.486842075470489,0.3612653558154753,9.408003880723609
To,3.0,26.430944645801215,4.713866298282423,22.78002628885817,23.77009951109334,24.760172733328506,28.256403824272734,31.752634915216962,4.486304313179396,5.334241873425033,0.20181805625598115,8.972608626358792
To_e,3.0,313.99456704831886,128.4160299625618,170.36073893316862,262.13564515885895,353.91055138454925,385.811481105894,417.7124108272387,123.67583594703507,145.31641775561027,0.46279914688220813,247.3516718940701
a_CL,3.0,0.3508610825115967,0.6422271191309652,-0.04367717107165309,-0.019669760461497043,0.004337650148659,0.5481302093032215,1.0919227684577841,0.5677999697647186,0.7267484002178356,2.0713280453206577,1.1355999395294372
a_kbh,3.0,0.00016021132524179102,0.00014569738279168143,-1.629715210818474e-08,9.794485459329616e-05,0.0001959060063387005,0.00024032513643874062,0.0002847442665387807,0.00014238028184544445,0.0001648721094230024,1.0290914776104456,0.0002847605636908889
a_khe,3.0,0.00020458099006080333,0.00039765208458979884,-4.515032609822842e-05,-2.46997357859872e-05,-4.249145473745984e-06,0.0003294466481403192,0.0006631424417543844,0.0003541463839263064,0.0004499856946402029,2.1995479370124422,0.0007082927678526128
c_B1corr_1_a,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_B1corr_1_l,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_B1corr_2_a,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_B1corr_2_l,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_BAT_1,3.0,77.18412734122431,8.17018022523369,72.4468740864043,72.46708602310923,72.48729795981416,79.5527539686343,86.61820997745444,7.085667945525074,9.245429274638198,0.11978407469407486,14.171335891050134
c_BAT_2,3.0,7358.755484979702,439.08663818936236,6852.575858679207,7219.623727377073,7586.67159607494,7611.84529812995,7637.01900018496,392.2215707528767,496.8733059621445,0.06752137735468121,784.4431415057525
c_CL,3.0,0.5821619358162631,0.7720630882125454,0.12467314948574905,0.13646308019203715,0.14825301089832527,0.81090632898152,1.4735596470647148,0.6744432487894829,0.8736716303493384,1.5007364387785722,1.3488864975789656
c_R10_a,3.0,0.525868466913289,0.009104704298944446,0.5154001593380209,0.5228311095317604,0.5302620597254998,0.5311026207009231,0.5319431816763465,0.008271511169162693,0.010302942816659536,0.01959224305107155,0.016543022338325608
c_R10_l,3.0,1.0259757615550307,0.1135667295162019,0.9223220626324361,0.965279672040922,1.0082372814494078,1.0778026110163281,1.1473679405832484,0.1125229389754061,0.1285128524400426,0.1252591506111809,0.22504587795081232
c_R20s_a,3.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
c_R20s_l,3.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
c_S0_1_a,3.0,169955166.26888448,18482849.855310258,150622761.36078206,161207051.34054744,171791341.3203128,179621368.72293568,187451396.12555858,18414317.382388234,20915313.545135435,0.12306371147344537,36828634.76477653
c_S0_1_l,3.0,101235088.588004,13300803.277846685,91865248.95411697,93623237.18804085,95381225.42196472,105920008.40494749,116458791.38793026,12296771.216906637,15051275.81168996,0.14867647197844686,24593542.43381329
c_S0_2_a,3.0,177626020.68249896,18046436.32922637,163373936.07743263,167480210.84610158,171586485.61477053,184752062.98503214,197917640.35529375,17271852.13893056,20421465.150280885,0.11496888277863086,34543704.27786112
c_S0_2_l,3.0,100404077.76887853,25265793.069798622,73808565.37396425,88562191.39495787,103315817.41595148,113701833.96633568,124087850.51671988,25139642.571377814,28590936.363069728,0.2847587169605161,50279285.14275563
c_T1_1,3.0,0.9825366619999999,0.10663414492767881,0.871559998,0.9316950074999999,0.991830017,1.038024994,1.084219971,0.10632998650000003,0.12066789446644982,0.12281261263149673,0.21265997300000006
c_T1_2,3.0,0.7934800006666668,0.11973903488616677,0.655630005,0.754394989,0.853159973,0.8624049985,0.871650024,0.10801000949999995,0.1354974734871074,0.1707635647694523,0.216020019
c_T1_3,3.0,0.807050008,0.13949123479953884,0.648580017,0.754950012,0.861320007,0.8862850035000001,0.91125,0.13133499150000005,0.1578491918437698,0.19558786974669085,0.262669983
c_dkhe,3.0,0.08741475156923743,0.5985082165203471,-0.5582672951527644,-0.1806981990983249,0.19687089695611454,0.41025577493023835,0.6236406529043622,0.5909539740285632,0.6772758046436415,7.747843384388053,1.1819079480571266
c_dose_1,3.0,0.025000000000000005,4.2491873609703695e-18,0.025,0.025,0.025,0.025,0.025,0.0,4.808408154719061e-18,1.923363261887624e-16,0.0
c_dose_2,3.0,0.025000000000000005,4.2491873609703695e-18,0.025,0.025,0.025,0.025,0.025,0.0,4.808408154719061e-18,1.923363261887624e-16,0.0
c_kbh,3.0,0.0002678790751272137,0.0002925439291391899,4.8398401882646586e-05,0.00010181861269122597,0.00015523882349980535,0.0003776194117494973,0.0005999999999991892,0.0002758007990582713,0.0003310446198270721,1.2357987262344459,0.0005516015981165426
c_khe,3.0,0.00048531787806066685,0.0005779433997612914,0.00012521020145747104,0.0001520007930244452,0.00017879138459141934,0.0006653717163622648,0.00115195204813311,0.0005133709233378196,0.0006540045237599561,1.3475797066725876,0.001026741846675639
c_khe_f,3.0,0.000565770530091023,0.0007471194964028648,7.672634570655244e-05,0.0001357699914061793,0.00019481363710580616,0.0008102926222832582,0.0014257716074607104,0.000674522630877079,0.0008454452990354228,1.4943254448042829,0.001349045261754158
