parameter,,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power
CO,T-test,18.012349086765948,2,two-sided,0.0030680121400494045,[ 96.59 157.21],10.39943459398183,11.951,0.999999871581757
Dg,T-test,9.839456944977277,2,two-sided,0.01017166132444824,[0.48 1.23],5.680813115862363,6.318,0.9915282679752823
Dhl,T-test,14.767524126567649,2,two-sided,0.004554177291927672,[0.31 0.56],8.526034029738124,9.712,
Eb,T-test,4.969251865229854,2,two-sided,0.03819165520350675,[0.01 0.07],2.8689989020615063,3.0,0.7149525636684666
Eo,T-test,8.167359479559861,2,two-sided,0.014662311952025414,[0.1  0.32],4.715427194092328,5.171,
FA,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
H,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
TR,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
TS,T-test,136.90860214065196,2,two-sided,5.334623507968613e-05,[1.73 1.84],79.04421830028078,94.089,1.0
Tg,T-test,2.382038970037767,2,two-sided,0.1401259117021075,[-79.23 275.77],1.3752708405714835,1.345,0.27956936389559683
Thl,T-test,5.425374917491717,2,two-sided,0.03233475372017285,[ 3.14 27.23],3.1323416690684867,3.306,0.7737771215731533
To,T-test,9.711717753905942,2,two-sided,0.010436796763984822,[14.72 38.14],5.607062859511263,6.231,
To_e,T-test,4.235098558854647,2,two-sided,0.05148575464004268,[ -5.01 633.  ],2.4451352929993266,2.513,0.6037366287240266
a_CL,T-test,0.9462528180545042,2,two-sided,0.44389945440304646,[-1.24  1.95],0.5463193192252099,0.642,0.09057593112616358
a_kbh,T-test,1.9045925873870102,2,two-sided,0.19712971846579913,[-0.  0.],1.099617043024456,1.077,0.2039812987923552
a_khe,T-test,0.8910921953636479,2,two-sided,0.46690339306443496,[-0.  0.],0.5144723188659767,0.623,0.08607155907330982
c_B1corr_1_a,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
c_B1corr_1_l,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
c_B1corr_2_a,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
c_B1corr_2_l,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
c_BAT_1,T-test,16.362776145374788,2,two-sided,0.003714165091052195,[56.89 97.48],9.447053212221721,10.813,0.9999979622002781
c_BAT_2,T-test,29.02784387386486,2,two-sided,0.0011846721100169252,[6268.   8449.51],16.759233474570305,19.558,1.0
c_CL,T-test,1.306025461469581,2,two-sided,0.3215523099124252,[-1.34  2.5 ],0.7540341517479677,0.783,0.12580017047381686
c_R10_a,T-test,100.03959193905584,2,two-sided,9.990588934802788e-05,[0.5  0.55],57.7578853356342,68.616,1.0
c_R10_l,T-test,15.64755940333709,2,two-sided,0.004059346041687876,[0.74 1.31],9.034122633677327,10.319,
c_R20s_a,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
c_R20s_l,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
c_S0_1_a,T-test,15.926709641151431,2,two-sided,0.003919123428110953,[1.24041222e+08 2.15869111e+08],9.195290098623786,10.512,0.9999959517351241
c_S0_1_l,T-test,13.182987018175512,2,two-sided,0.005704841221487064,[6.81940616e+07 1.34276116e+08],7.611201103666974,8.62,0.9998012795902442
c_S0_2_a,T-test,17.048091210679342,2,two-sided,0.0034230567078245475,[1.32796188e+08 2.22455854e+08],9.84272004965501,11.286,
c_S0_2_l,T-test,6.883020196610061,2,two-sided,0.0204621170156787,[3.76403684e+07 1.63167787e+08],3.9739135633504494,4.294,0.9056620458235309
c_T1_1,T-test,15.959272895537564,2,two-sided,0.003903240028099559,[0.72 1.25],9.214090502309311,10.534,0.9999961515491728
c_T1_2,T-test,11.477858304528803,2,two-sided,0.007505290411557911,[0.5  1.09],6.626744581840087,7.445,0.9984564623448995
c_T1_3,T-test,10.021071360603441,2,two-sided,0.009811674118370311,[0.46 1.15],5.785668247612847,6.443,0.9928943107727811
c_dkhe,T-test,0.25297362153052944,2,two-sided,0.8239156133442448,[-1.4   1.57],0.1460543884885257,0.48,0.052959180281722126
c_dose_1,T-test,1.0190482676041238e+16,2,two-sided,9.629649721936175e-33,[0.02 0.03],5883477916184627.0,48.738,
c_dose_2,T-test,1.0190482676041238e+16,2,two-sided,9.629649721936175e-33,[0.02 0.03],5883477916184627.0,48.738,
c_kbh,T-test,1.5860187896229994,2,two-sided,0.2536242167621228,[-0.  0.],0.9156883751286431,0.913,0.15963735068979176
