Biomarker,Units,control,drug,change (%)
AUC for Cb (0-35min),mM*sec,47.8 (9.3) ,63.7 (23.0) ,30.7 (27.0) 
AUC for Cb (0-inf),mM*sec,76.2 (15.0) ,119.0 (46.0) ,59.1 (55.0) 
Body extraction fraction,%,5.73 (1.1) ,3.43 (1.1) ,-36.3 (27.0) 
Cardiac output,L/min,5.6 (1.0) ,6.27 (1.7) ,15.9 (37.0) 
Heart-lung dispersion,%,42.4 (17.0) ,48.6 (11.0) ,114.0 (210.0) 
Heart-lung mean transit time,sec,18.2 (7.4) ,17.8 (4.2) ,157000.0 (310000.0) 
Organs blood mean transit time,sec,31.6 (4.3) ,25.3 (7.3) ,-18.6 (23.0) 
Organs extraction fraction,%,19.3 (3.9) ,17.9 (2.2) ,1.5 (38.0) 
Organs extravascular mean transit time,min,6.67 (2.1) ,5.25 (1.6) ,-5.9 (45.0) 
RE for R1b at 20min,%,16.9 (2.1) ,24.0 (4.8) ,41.8 (20.0) 
RE for Sb at 20min,%,19.7 (5.4) ,22.7 (5.3) ,28.1 (43.0) 
