Biomarker,Units,control,drug,change (%)
AUC for Cl (0-35min),mM*sec,201.0 (43.0) ,95.4 (23.0) ,-52.3 (7.6) 
AUC for Cl (0-inf),mM*sec,714.0 (140.0) ,480.0 (190.0) ,-30.8 (30.0) 
Biliary excretion rate,mL/min/100cm3,1.74 (0.63) ,0.743 (0.48) ,-51.5 (32.0) 
Biliary tissue excretion rate,/min,0.0266 (0.0099) ,0.0143 (0.011) ,-43.7 (31.0) 
Final biliary excretion rate,mL/min/100cm3,1.82 (0.64) ,1.3 (0.54) ,-26.0 (32.0) 
Final hepatocellular uptake rate,mL/min/100cm3,14.0 (3.0) ,7.15 (2.3) ,-49.4 (10.0) 
Gut dispersion,%,76.2 (13.0) ,71.5 (9.7) ,-4.43 (12.0) 
Gut mean transit time,sec,28.1 (7.6) ,27.5 (4.7) ,2.81 (20.0) 
Hepatocellular mean transit time,min,43.9 (13.0) ,153.0 (110.0) ,306.0 (350.0) 
Hepatocellular tissue uptake rate,/min,0.72 (0.15) ,0.186 (0.046) ,-73.8 (4.3) 
Hepatocellular uptake rate,mL/min/100cm3,13.6 (3.1) ,4.77 (1.8) ,-65.7 (6.5) 
Initial biliary excretion rate,mL/min/100cm3,1.69 (0.62) ,0.656 (0.46) ,-55.3 (30.0) 
Initial hepatocellular uptake rate,mL/min/100cm3,13.2 (3.9) ,2.38 (1.2) ,-82.4 (5.2) 
Liver T1-MOLLI at 45min,sec,0.469 (0.1) ,0.629 (0.075) ,40.3 (25.0) 
Liver T1-MOLLI at baseline,sec,0.734 (0.048) ,0.751 (0.028) ,2.68 (4.0) 
Liver T1-MOLLI at scan 2,sec,0.625 (0.055) ,0.623 (0.059) ,0.818 (13.0) 
Liver extracellular volume fraction,mL/100cm3,18.9 (1.9) ,24.8 (3.3) ,32.6 (22.0) 
Liver plasma clearance,L/min,0.124 (0.04) ,0.0452 (0.022) ,-65.4 (6.9) 
RE for R1l at 20min,%,76.0 (19.0) ,24.5 (5.0) ,-66.7 (7.1) 
RE for Sl at 20min,%,64.7 (15.0) ,21.4 (3.7) ,-65.9 (6.4) 
