Biomarker,Units,control,drug,change (%)
AUC for Cb (0-35min),mM*sec,45.2 (12.0) ,62.6 (28.0) ,35.6 (34.0) 
AUC for Cb (0-inf),mM*sec,88.4 (49.0) ,187.0 (150.0) ,181.0 (250.0) 
Body extraction fraction,%,4.54 (3.7) ,3.76 (5.4) ,220.0 (590.0) 
Cardiac output,L/min,6.96 (0.62) ,5.75 (0.6) ,-17.1 (12.0) 
Heart-lung dispersion,%,38.1 (11.0) ,43.6 (7.2) ,17.9 (26.0) 
Heart-lung mean transit time,sec,19.9 (6.0) ,20.1 (2.6) ,5.76 (33.0) 
Organs blood mean transit time,sec,29.5 (3.9) ,34.5 (3.8) ,18.2 (20.0) 
Organs extraction fraction,%,19.8 (1.8) ,17.2 (0.46) ,-12.7 (10.0) 
Organs extravascular mean transit time,min,6.43 (5.3) ,7.36 (2.8) ,66.4 (130.0) 
RE for R1b at 20min,%,20.0 (6.3) ,29.4 (15.0) ,44.3 (53.0) 
RE for Sb at 20min,%,20.4 (7.9) ,26.9 (19.0) ,24.5 (40.0) 
