Biomarker,Units,control,drug,change (%)
AUC for Cl (0-35min),mM*sec,60.0 (26.0) ,45.8 (16.0) ,-19.9 (26.0) 
AUC for Cl (0-inf),mM*sec,257.0 (320.0) ,189.0 (78.0) ,22.9 (81.0) 
Biliary excretion rate,mL/min/100cm3,1.24 (0.78) ,3.77 (3.5) ,198.0 (310.0) 
Biliary tissue excretion rate,/min,0.0255 (0.019) ,0.0579 (0.056) ,140.0 (260.0) 
Final biliary excretion rate,mL/min/100cm3,1.84 (2.6) ,5.8 (0.47) ,735.0 (700.0) 
Final hepatocellular uptake rate,mL/min/100cm3,4.1 (3.5) ,3.15 (3.2) ,20.4 (100.0) 
Gut dispersion,%,81.3 (8.5) ,76.1 (9.5) ,-6.18 (11.0) 
Gut mean transit time,sec,48.5 (12.0) ,54.3 (5.6) ,15.7 (29.0) 
Hepatocellular mean transit time,min,49.7 (27.0) ,103.0 (180.0) ,81.6 (290.0) 
Hepatocellular tissue uptake rate,/min,0.123 (0.079) ,0.119 (0.087) ,31.2 (120.0) 
Hepatocellular uptake rate,mL/min/100cm3,3.56 (2.6) ,2.24 (1.9) ,-13.5 (71.0) 
Initial biliary excretion rate,mL/min/100cm3,3.1 (3.0) ,3.71 (3.5) ,77.0 (260.0) 
Initial hepatocellular uptake rate,mL/min/100cm3,3.01 (2.6) ,1.34 (0.63) ,-39.3 (45.0) 
Liver T1-MOLLI at 45min,sec,0.793 (0.14) ,0.793 (0.13) ,0.33 (10.0) 
Liver T1-MOLLI at baseline,sec,0.983 (0.12) ,0.916 (0.089) ,-6.57 (3.5) 
Liver T1-MOLLI at scan 2,sec,0.807 (0.16) ,0.827 (0.11) ,3.25 (8.1) 
Liver extracellular volume fraction,mL/100cm3,26.9 (6.0) ,19.0 (6.0) ,-30.1 (8.6) 
Liver plasma clearance,L/min,0.0397 (0.033) ,0.0277 (0.031) ,-7.69 (76.0) 
RE for R1l at 20min,%,22.5 (11.0) ,14.5 (4.8) ,-28.2 (35.0) 
RE for Sl at 20min,%,19.4 (8.3) ,11.1 (3.3) ,-36.9 (32.0) 
