Biomarker,Units,control,drug,change (%)
AUC for Cb (0-35min),mM*sec,45.3 (7.3) ,54.0 (12.0) ,17.2 (16.0) 
AUC for Cb (0-inf),mM*sec,74.8 (29.0) ,110.0 (30.0) ,59.5 (42.0) 
Body extraction fraction,%,6.81 (2.8) ,3.49 (0.67) ,-32.1 (29.0) 
Cardiac output,L/min,5.07 (1.4) ,5.89 (0.8) ,29.2 (30.0) 
Heart-lung dispersion,%,37.5 (6.2) ,46.9 (7.3) ,32.0 (31.0) 
Heart-lung mean transit time,sec,17.5 (3.2) ,17.2 (2.6) ,3.48 (21.0) 
Organs blood mean transit time,sec,31.1 (8.1) ,33.6 (7.2) ,15.3 (22.0) 
Organs extraction fraction,%,20.4 (3.0) ,14.2 (2.6) ,-29.9 (7.8) 
Organs extravascular mean transit time,min,6.35 (2.3) ,7.56 (1.1) ,44.6 (50.0) 
RE for R1b at 20min,%,17.1 (3.2) ,22.7 (5.8) ,30.5 (23.0) 
RE for Sb at 20min,%,16.2 (6.0) ,18.1 (6.6) ,40.6 (64.0) 
