Biomarker,Units,control,drug,change (%)
AUC for Cl (0-35min),mM*sec,202.0 (50.0) ,202.0 (23.0) ,11.5 (36.0) 
AUC for Cl (0-inf),mM*sec,783.0 (360.0) ,664.0 (77.0) ,38.5 (95.0) 
Biliary excretion rate,mL/min/100cm3,1.98 (0.71) ,2.28 (0.74) ,18.2 (27.0) 
Biliary tissue excretion rate,/min,0.0351 (0.011) ,0.0325 (0.0082) ,-4.68 (16.0) 
Final biliary excretion rate,mL/min/100cm3,1.75 (0.6) ,2.17 (0.79) ,28.0 (43.0) 
Final hepatocellular uptake rate,mL/min/100cm3,25.5 (8.9) ,20.7 (4.2) ,-11.9 (18.0) 
Gut dispersion,%,72.2 (5.2) ,69.4 (7.8) ,-3.27 (12.0) 
Gut mean transit time,sec,21.5 (2.5) ,20.7 (3.4) ,-1.28 (21.0) 
Hepatocellular mean transit time,min,32.0 (9.4) ,33.9 (9.6) ,8.97 (19.0) 
Hepatocellular tissue uptake rate,/min,0.935 (0.29) ,1.19 (0.42) ,32.1 (43.0) 
Hepatocellular uptake rate,mL/min/100cm3,21.4 (3.6) ,18.2 (3.3) ,-15.0 (4.0) 
Initial biliary excretion rate,mL/min/100cm3,2.36 (0.98) ,2.43 (0.75) ,11.1 (31.0) 
Initial hepatocellular uptake rate,mL/min/100cm3,17.3 (4.2) ,15.7 (2.5) ,2.1 (40.0) 
Liver T1-MOLLI at 45min,sec,0.445 (0.062) ,0.47 (0.098) ,5.58 (13.0) 
Liver T1-MOLLI at baseline,sec,0.761 (0.025) ,0.75 (0.023) ,-1.31 (3.5) 
Liver T1-MOLLI at scan 2,sec,0.621 (0.076) ,0.568 (0.041) ,-5.77 (18.0) 
Liver extracellular volume fraction,mL/100cm3,24.3 (3.9) ,17.4 (5.6) ,-26.7 (23.0) 
Liver plasma clearance,L/min,0.212 (0.054) ,0.177 (0.056) ,-17.9 (5.9) 
RE for R1l at 20min,%,71.4 (23.0) ,73.3 (11.0) ,27.7 (60.0) 
RE for Sl at 20min,%,61.7 (20.0) ,65.7 (7.4) ,42.2 (86.0) 
