Biomarker,Units,control,drug,change (%)
AUC for Cl (0-35min),mM*sec,177.0 (36.0) ,32.8 (5.8) ,-80.4 (4.1) 
AUC for Cl (0-inf),mM*sec,562.0 (190.0) ,129.0 (25.0) ,-73.9 (5.8) 
Biliary excretion rate,mL/min/100cm3,2.05 (0.71) ,0.682 (0.27) ,-43.1 (49.0) 
Biliary tissue excretion rate,/min,0.0272 (0.0077) ,0.0116 (0.005) ,-26.3 (70.0) 
Final biliary excretion rate,mL/min/100cm3,1.96 (0.79) ,1.04 (0.46) ,-13.9 (61.0) 
Final hepatocellular uptake rate,mL/min/100cm3,18.4 (12.0) ,0.962 (0.26) ,-93.0 (2.3) 
Gut dispersion,%,61.5 (15.0) ,69.3 (4.6) ,28.7 (40.0) 
Gut mean transit time,sec,33.8 (13.0) ,43.3 (7.5) ,72.3 (72.0) 
Hepatocellular mean transit time,min,60.0 (51.0) ,131.0 (64.0) ,270.0 (200.0) 
Hepatocellular tissue uptake rate,/min,1.77 (1.2) ,0.0398 (0.012) ,-96.3 (1.4) 
Hepatocellular uptake rate,mL/min/100cm3,14.5 (6.0) ,0.806 (0.21) ,-94.0 (1.3) 
Initial biliary excretion rate,mL/min/100cm3,2.62 (0.97) ,1.27 (1.1) ,-36.7 (52.0) 
Initial hepatocellular uptake rate,mL/min/100cm3,10.7 (1.9) ,0.649 (0.2) ,-93.6 (2.3) 
Liver T1-MOLLI at 45min,sec,0.537 (0.036) ,0.727 (0.041) ,35.7 (5.9) 
Liver T1-MOLLI at baseline,sec,0.795 (0.037) ,0.805 (0.041) ,1.27 (2.7) 
Liver T1-MOLLI at scan 2,sec,0.669 (0.041) ,0.759 (0.038) ,13.8 (6.3) 
Liver extracellular volume fraction,mL/100cm3,13.1 (5.4) ,21.1 (2.9) ,196.0 (230.0) 
Liver plasma clearance,L/min,0.13 (0.051) ,0.00738 (0.0015) ,-93.7 (1.6) 
RE for R1l at 20min,%,63.7 (14.0) ,8.8 (1.5) ,-85.7 (1.8) 
RE for Sl at 20min,%,53.4 (12.0) ,7.83 (1.8) ,-84.9 (2.5) 
