Biomarker,Units,control,drug,change (%)
AUC for Cb (0-35min),mM*sec,35.7 (9.1) ,41.7 (9.1) ,27.2 (41.0) 
AUC for Cb (0-inf),mM*sec,76.3 (36.0) ,71.6 (14.0) ,36.8 (85.0) 
Body extraction fraction,%,4.62 (2.1) ,5.45 (1.1) ,76.9 (110.0) 
Cardiac output,L/min,8.15 (2.9) ,6.59 (2.2) ,-17.2 (21.0) 
Heart-lung dispersion,%,43.9 (6.8) ,45.9 (5.6) ,6.56 (15.0) 
Heart-lung mean transit time,sec,18.4 (3.5) ,20.0 (2.3) ,16.2 (32.0) 
Organs blood mean transit time,sec,25.4 (4.9) ,27.0 (8.5) ,12.1 (41.0) 
Organs extraction fraction,%,18.0 (2.5) ,21.1 (3.7) ,23.3 (39.0) 
Organs extravascular mean transit time,min,8.74 (2.1) ,6.91 (1.2) ,-16.4 (22.0) 
RE for R1b at 20min,%,14.1 (4.5) ,15.6 (3.5) ,28.9 (53.0) 
RE for Sb at 20min,%,16.4 (7.3) ,13.2 (2.8) ,-4.22 (30.0) 
